,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Sonic the Hedgehog,PG,99,6.9,2020,47
1,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,R,109,6.6,2020,60
2,The Batman,,,,2021,
3,The Gentlemen,R,113,8.1,2019,51
4,Ford v Ferrari,PG-13,152,8.2,2019,81
5,No Time to Die,PG-13,,,2020,
6,Jumanji: The Next Level,PG-13,123,6.9,2019,58
7,Dolittle,PG,101,5.5,2020,26
8,Midway,PG-13,138,6.7,2019,47
9,Bad Boys For Life,R,124,7.2,2020,59
10,Charlie's Angels,PG-13,118,4.4,2019,52
11,Terminator: Dark Fate,R,128,6.3,2019,54
12,The Hunt,R,,,2020,
13,Snowpiercer,R,126,7.1,2013,84
14,Star Wars: The Rise Of Skywalker,PG-13,142,6.8,2019,53
15,Avengers: Endgame,PG-13,181,8.5,2019,78
16,21 Bridges,R,99,6.6,2019,51
17,Alita: Battle Angel,PG-13,122,7.3,2019,53
18,6 Underground,R,128,6.1,2019,41
19,F9,,135,,2020,
20,Suicide Squad,PG-13,123,6.0,2016,40
21,Black Widow,Unrated,,,2020,
22,Blade Runner 2049,R,164,8.0,2017,81
23,The Dark Knight,PG-13,152,9.0,2008,84
24,Tenet,,,,2020,
25,Bloodshot,PG-13,109,5.8,2020,
26,Mulan,PG-13,,,2020,
27,Zombieland: Double Tap,R,99,6.8,2019,55
28,Okja,TV-MA,120,7.3,2017,75
29,Gemini Man,PG-13,117,5.7,2019,38
30,Top Gun: Maverick,,,,2020,
31,Eternals,,,,2020,
32,The Matrix 4,,,,2021,
33,Harriet,PG-13,125,6.3,2019,66
34,Inception,PG-13,148,8.8,2010,74
35,Blade Runner,R,117,8.1,1982,84
36,Malang,,135,6.7,2020,
37,The Host,R,120,7.1,2006,85
38,Shaft,R,111,6.4,2019,40
39,Wonder Woman 1984,,,,2020,
40,John Wick: Chapter 3 - Parabellum,R,131,7.5,2019,73
41,Shazam!,PG-13,132,7.1,2019,71
42,The Matrix,R,136,8.7,1999,73
43,Godzilla vs. Kong,,,,2020,
44,Mr. Right,R,95,6.3,2015,52
45,Jumanji: Welcome to the Jungle,PG-13,119,6.9,2017,58
46,The Suicide Squad,,,,2021,
47,Spider-Man: Far from Home,PG-13,129,7.5,2019,69
48,Memories of Murder,Not Rated,132,8.1,2003,82
49,The Lord of the Rings: The Fellowship of the Ring,PG-13,178,8.8,2001,92
50,Fast & Furious Presents: Hobbs & Shaw,PG-13,137,6.5,2019,60
51,Gladiator,R,155,8.5,2000,67
52,VFW,R,92,6.3,2019,72
53,Contagion,PG-13,106,6.6,2011,70
54,The Foreigner,R,113,7.0,2017,55
55,Watchmen,R,162,7.6,2009,56
56,Guns Akimbo,R,95,7.5,2019,43
57,Aquaman,PG-13,143,7.0,2018,55
58,Underwater,PG-13,95,6.1,2020,48
59,American Assassin,R,112,6.2,2017,45
60,El Camino: A Breaking Bad Movie,TV-MA,122,7.4,2019,72
61,Thor: Ragnarok,PG-13,130,7.9,2017,74
62,Spectre,PG-13,148,6.8,2015,60
63,The Other Guys,PG-13,107,6.6,2010,64
64,Casino Royale,PG-13,144,8.0,2006,80
65,Baby Driver,R,113,7.6,2017,86
66,Ready Player One,PG-13,140,7.5,2018,64
67,Avengers: Infinity War,PG-13,149,8.5,2018,68
68,Godzilla: King of the Monsters,PG-13,132,6.1,2019,48
69,Dunkirk,PG-13,106,7.9,2017,94
70,Ip Man 4: The Finale,Unrated,107,7.3,2019,62
71,The New Mutants,,,,2020,
72,The Dark Knight Rises,PG-13,164,8.4,2012,78
73,Guardians of the Galaxy,PG-13,121,8.0,2014,76
74,Spider-Man: Into the Spider-Verse,PG,117,8.4,2018,87
75,Skyfall,PG-13,143,7.7,2012,81
76,Anna,R,119,6.6,2019,40
77,Star Wars: Episode VIII - The Last Jedi,PG-13,152,7.0,2017,85
78,Captain Marvel,PG-13,123,6.9,2019,64
79,Avatar,PG-13,162,7.8,2009,83
80,Black Panther,PG-13,134,7.3,2018,88
81,Rambo: Last Blood,R,89,6.2,2019,26
82,Bad Boys,R,119,6.9,1995,41
83,Oldboy,R,120,8.4,2003,77
84,Mission: Impossible - Fallout,PG-13,147,7.8,2018,86
85,Baywatch,R,116,5.5,2017,37
86,Train to Busan,Not Rated,118,7.5,2016,72
