,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Sonic the Hedgehog,PG,99,6.9,2020,47
1,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,R,109,6.6,2020,60
2,Fantasy Island,PG-13,109,4.7,2020,21
3,The Call of the Wild,PG,100,6.8,2020,47
4,No Time to Die,PG-13,,,2020,
5,Jumanji: The Next Level,PG-13,123,6.9,2019,58
6,Dolittle,PG,101,5.5,2020,26
7,Charlie's Angels,PG-13,118,4.4,2019,52
8,Frozen II,PG,103,7.1,2019,64
9,Toy Story 4,G,100,7.9,2019,84
10,Terminator: Dark Fate,R,128,6.3,2019,54
11,Star Wars: The Rise Of Skywalker,PG-13,142,6.8,2019,53
12,Avengers: Endgame,PG-13,181,8.5,2019,78
13,The Lion King,PG,118,6.9,2019,55
14,Alita: Battle Angel,PG-13,122,7.3,2019,53
15,6 Underground,R,128,6.1,2019,41
16,F9,,135,,2020,
17,Suicide Squad,PG-13,123,6.0,2016,40
18,Onward,PG,114,7.0,2020,62
19,Black Widow,Unrated,,,2020,
20,Mulan,PG-13,,,2020,
21,Ad Astra,PG-13,123,6.6,2019,80
22,Maleficent: Mistress of Evil,PG,119,6.7,2019,43
23,Okja,TV-MA,120,7.3,2017,75
24,Aladdin,PG,128,7.0,2019,53
25,Inglourious Basterds,R,153,8.3,2009,69
26,Eternals,,,,2020,
27,Inception,PG-13,148,8.8,2010,74
28,Interstellar,PG-13,169,8.6,2014,74
29,Wonder Woman 1984,,,,2020,
30,Shazam!,PG-13,132,7.1,2019,71
31,Harry Potter and the Sorcerer's Stone,PG,152,7.6,2001,64
32,The Peanut Butter Falcon,PG-13,97,7.7,2019,70
33,Jumanji: Welcome to the Jungle,PG-13,119,6.9,2017,58
34,Dune,,,,2020,
35,The Suicide Squad,,,,2021,
36,Spider-Man: Far from Home,PG-13,129,7.5,2019,69
37,The Lord of the Rings: The Fellowship of the Ring,PG-13,178,8.8,2001,92
38,Fast & Furious Presents: Hobbs & Shaw,PG-13,137,6.5,2019,60
39,Gladiator,R,155,8.5,2000,67
40,The Martian,PG-13,144,8.0,2015,80
41,Aquaman,PG-13,143,7.0,2018,55
42,Thor: Ragnarok,PG-13,130,7.9,2017,74
43,Spectre,PG-13,148,6.8,2015,60
44,Casino Royale,PG-13,144,8.0,2006,80
45,Back to the Future,PG,116,8.5,1985,87
46,Ready Player One,PG-13,140,7.5,2018,64
47,Avengers: Infinity War,PG-13,149,8.5,2018,68
48,The Shape of Water,R,123,7.3,2017,87
49,Godzilla: King of the Monsters,PG-13,132,6.1,2019,48
50,The Grand Budapest Hotel,R,99,8.1,2014,88
51,Frozen,PG,102,7.5,2013,74
52,The Dark Knight Rises,PG-13,164,8.4,2012,78
53,Guardians of the Galaxy,PG-13,121,8.0,2014,76
54,Spider-Man: Into the Spider-Verse,PG,117,8.4,2018,87
55,Skyfall,PG-13,143,7.7,2012,81
56,Star Wars: Episode VIII - The Last Jedi,PG-13,152,7.0,2017,85
57,Captain Marvel,PG-13,123,6.9,2019,64
58,Avatar,PG-13,162,7.8,2009,83
59,Black Panther,PG-13,134,7.3,2018,88
60,Rambo: Last Blood,R,89,6.2,2019,26
61,Mission: Impossible - Fallout,PG-13,147,7.8,2018,86
62,The Lion King,G,88,8.5,1994,88
63,The Hunger Games,PG-13,142,7.2,2012,68
64,Raiders of the Lost Ark,PG,115,8.4,1981,85
65,Jurassic Park,PG-13,127,8.1,1993,68
66,Batman Begins,PG-13,140,8.2,2005,70
67,Pokémon Detective Pikachu,PG,104,6.6,2019,53
68,Mad Max: Fury Road,R,120,8.1,2015,90
69,47 Meters Down: Uncaged,PG-13,90,5.0,2019,43
70,The Revenant,R,156,8.0,2015,76
71,Star Wars: Episode I - The Phantom Menace,PG,136,6.5,1999,51
72,Justice League,PG-13,120,6.4,2017,45
73,X-Men: Dark Phoenix,PG-13,113,5.8,2019,43
74,The Lord of the Rings: The Return of the King,PG-13,201,8.9,2003,94
75,Star Wars: Episode IV - A New Hope,PG,121,8.6,1977,90
76,The King's Man,,,,2020,
77,Morbius,Unrated,,,2020,
78,Thor: Love and Thunder,,,,2021,
79,Togo,PG,113,8.1,2019,71
80,The Magnificent Seven,PG-13,132,6.9,2016,54
81,Deadpool 2,R,119,7.7,2018,66
