,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Frozen II,PG,103,7.1,2019,64
1,Toy Story 4,G,100,7.9,2019,84
2,The Lion King,PG,118,6.9,2019,55
3,Onward,PG,114,7.0,2020,62
4,Sing,PG,108,7.1,2016,59
5,Frozen,PG,102,7.5,2013,74
6,Spider-Man: Into the Spider-Verse,PG,117,8.4,2018,87
7,The Addams Family,PG,86,5.8,2019,46
8,The Lion King,G,88,8.5,1994,88
9,Toy Story,G,81,8.3,1995,95
10,The Secret Life of Pets 2,PG,86,6.5,2019,55
11,Moana,PG,107,7.6,2016,81
12,A Shaun the Sheep Movie: Farmageddon,G,86,6.9,2019,79
13,Spirited Away,PG,125,8.6,2001,96
14,Dragon Quest: Your Story,,103,6.6,2019,
15,Spies in Disguise,PG,102,6.8,2019,54
16,Zootopia,PG,108,8.0,2016,78
17,Trolls World Tour,PG,,,2020,
18,Scoob!,,,,2020,
19,Spycies,,99,5.1,2019,
20,Abominable,PG,97,7.0,2019,61
21,Coco,PG,105,8.4,2017,81
22,Tangled,PG,100,7.7,2010,71
23,Cars,G,117,7.1,2006,73
24,My Neighbor Totoro,G,86,8.2,1988,86
25,Klaus,PG,96,8.2,2019,65
26,Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,98,6.3,2019,
27,Ratatouille,G,111,8.0,2007,96
28,My Hero Academia: Heroes Rising,PG-13,104,7.9,2019,
29,Toy Story 3,G,103,8.3,2010,92
30,Your Name.,PG,106,8.4,2016,79
31,Mulan,G,88,7.6,1998,71
32,Inside Out,PG,95,8.2,2015,94
33,Minions: The Rise of Gru,,,,2020,
34,Shrek,PG,90,7.8,2001,84
35,Weathering with You,PG-13,112,7.6,2019,72
36,Space Jam,PG,88,6.4,1996,59
37,Aladdin,G,90,8.0,1992,86
38,Isle of Dogs,PG-13,101,7.9,2018,82
39,Incredibles 2,PG,118,7.6,2018,80
40,Up,PG,96,8.2,2009,88
41,The Incredibles,PG,115,8.0,2004,90
42,How to Train Your Dragon: The Hidden World,PG,104,7.5,2019,71
43,Finding Nemo,G,100,8.1,2003,90
44,"Monsters, Inc.",G,92,8.0,2001,79
45,Missing Link,PG,93,6.7,2019,68
46,Fantastic Mr. Fox,PG,87,7.8,2009,83
47,Castle in the Sky,PG,125,8.0,1986,78
48,Hercules,G,93,7.3,1997,74
49,The Little Mermaid,G,83,7.6,1989,88
50,The Lego Movie 2: The Second Part,PG,107,6.6,2019,65
51,Soul,,,,2020,
