,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Ford v Ferrari,PG-13,152,8.2,2019,81
1,The Irishman,R,209,8.0,2019,94
2,Dark Waters,PG-13,126,7.6,2019,72
3,A Beautiful Day in the Neighborhood,PG,109,7.4,2019,80
4,Bombshell,R,109,6.8,2019,64
5,Judy,PG-13,118,6.9,2019,66
6,Fighting with My Family,PG-13,108,7.1,2019,68
7,Rocketman,R,121,7.3,2019,69
8,Richard Jewell,R,131,7.5,2019,68
9,Harriet,PG-13,125,6.3,2019,66
10,Green Book,PG-13,130,8.2,2018,69
11,The Wolf of Wall Street,R,180,8.2,2013,75
12,The King,R,140,7.3,2019,62
13,Bohemian Rhapsody,PG-13,134,8.0,2018,49
14,The Favourite,R,119,7.6,2018,90
15,Goodfellas,R,146,8.7,1990,90
16,Ip Man 4: The Finale,Unrated,107,7.3,2019,62
17,Schindler's List,R,195,8.9,1993,94
18,The Greatest Showman,PG,105,7.6,2017,48
19,Hacksaw Ridge,R,139,8.1,2016,71
20,The Revenant,R,156,8.0,2015,76
21,A Hidden Life,PG-13,174,7.6,2019,78
22,True History of the Kelly Gang,R,124,5.9,2019,83
23,Togo,PG,113,8.1,2019,71
24,The Big Short,R,130,7.8,2015,81
25,The Professor and the Madman,,124,7.3,2019,25
26,The Lion in Winter,PG,134,7.9,1968,
27,BlacKkKlansman,R,135,7.5,2018,83
28,"I, Tonya",R,119,7.5,2017,77
29,Dolemite Is My Name,R,118,7.3,2019,76
30,"Extremely Wicked, Shockingly Evil and Vile",R,110,6.6,2019,52
31,12 Years a Slave,R,134,8.1,2013,96
32,The Pianist,R,150,8.5,2002,85
33,Vice,R,132,7.2,2018,61
34,The Report,R,119,7.2,2019,66
35,Hidden Figures,PG,127,7.8,2016,74
36,Mary Queen of Scots,R,124,6.3,2018,60
37,Mr. Jones,,141,6.9,2019,64
38,The Sound of Music,G,172,8.0,1965,63
39,The Aeronauts,PG-13,100,6.6,2019,60
40,Lawrence of Arabia,Approved,228,8.3,1962,100
41,Braveheart,R,178,8.3,1995,68
42,Lion,PG-13,118,8.0,2016,69
43,Seberg,R,102,5.0,2019,54
44,Darkest Hour,PG-13,125,7.4,2017,75
45,Catch Me If You Can,PG-13,141,8.1,2002,75
46,Jarhead,R,125,7.0,2005,58
47,Walk the Line,PG-13,136,7.8,2005,72
48,First Man,PG-13,141,7.3,2018,84
49,Queen of Katwe,PG,124,7.4,2016,73
50,Spotlight,R,129,8.1,2015,93
51,Legend,R,132,6.9,2015,55
52,Argo,R,120,7.7,2012,86
53,The Social Network,PG-13,120,7.7,2010,95
54,Tombstone,R,130,7.8,1993,50
55,American Made,R,115,7.1,2017,65
56,Beautiful Boy,R,120,7.3,2018,62
57,Molly's Game,R,140,7.4,2017,71
58,Into the Wild,R,148,8.1,2007,73
59,Dallas Buyers Club,R,117,8.0,2013,84
60,American Sniper,R,133,7.3,2014,72
61,The Intouchables,R,112,8.5,2011,57
62,"Girl, Interrupted",R,127,7.3,1999,51
63,Unbroken,PG-13,137,7.2,2014,59
64,A Beautiful Mind,PG-13,135,8.2,2001,72
65,Spartacus,PG-13,197,7.9,1960,87
66,Official Secrets,R,112,7.3,2019,63
67,Coach Carter,PG-13,136,7.3,2005,57
68,Remember the Titans,PG,113,7.8,2000,48
69,The King's Speech,R,118,8.0,2010,88
70,Radioactive,PG-13,109,6.4,2019,55
71,The Imitation Game,PG-13,114,8.0,2014,73
72,In the Heart of the Sea,PG-13,122,6.9,2015,47
73,Miracle,PG,135,7.5,2004,68
74,Lincoln,PG-13,150,7.3,2012,86
75,Moneyball,PG-13,133,7.6,2011,87
76,The Danish Girl,R,119,7.1,2015,66
77,Captain Phillips,PG-13,134,7.8,2013,83
78,Everest,PG-13,121,7.1,2015,64
79,The Disaster Artist,R,104,7.4,2017,76
80,Lone Survivor,R,121,7.5,2013,60
81,Rush,R,123,8.1,2013,74
82,Resistance,,,,2020,
83,Amadeus,R,160,8.3,1984,88
84,Tolkien,PG-13,112,6.8,2019,48
85,The Highwaymen,R,132,6.9,2019,58
86,Elizabeth,R,124,7.4,1998,75
87,The Fighter,R,116,7.8,2010,79
88,The Post,PG-13,116,7.2,2017,83
89,The Dirt,TV-MA,107,7.0,2019,39
90,Raging Bull,R,129,8.2,1980,89
91,The Blind Side,PG-13,129,7.6,2009,53
92,Papillon,R,133,7.2,2017,51
93,Blonde,,,,2020,
94,Blow,R,124,7.6,2001,52
95,The Theory of Everything,PG-13,123,7.7,2014,72
96,The Best of Enemies,PG-13,133,7.1,2019,49
97,Only the Brave,PG-13,134,7.7,2017,72
98,All the Money in the World,R,132,6.8,2017,72
99,Sully,PG-13,96,7.4,2016,74
100,Stockholm,R,92,6.1,2018,54
101,The Lost City of Z,PG-13,141,6.6,2016,78
102,The Pursuit of Happyness,PG-13,117,8.0,2006,64
103,American Gangster,R,157,7.8,2007,76
104,The Aviator,PG-13,170,7.5,2004,77
105,Breakthrough,PG,116,6.1,2019,46
106,Glory,R,122,7.8,1989,78
107,Steve Jobs,R,122,7.2,2015,82
108,Outlaw King,R,121,6.9,2018,59
109,War Dogs,R,114,7.1,2016,57
110,The Old Man & the Gun,PG-13,93,6.7,2018,80
111,Monster,R,109,7.3,2003,74
112,Papillon,R,151,8.0,1973,58
113,Tanhaji: The Unsung Warrior,Not Rated,135,8.4,2020,
114,The Current War,PG-13,102,6.5,2017,55
115,Can You Ever Forgive Me?,R,106,7.1,2018,87
116,Straight Outta Compton,R,147,7.9,2015,72
117,The Right Stuff,PG,193,7.8,1983,91
118,Boys Don't Cry,R,118,7.5,1999,86
119,Public Enemies,R,140,7.0,2009,70
120,The 15:17 to Paris,PG-13,94,5.2,2018,45
121,Downfall,R,156,8.2,2004,82
122,Erin Brockovich,R,131,7.3,2000,73
123,Ip Man,R,106,8.0,2008,59
124,Mank,,,,2020,
125,Skin,R,118,7.3,2018,58
126,On the Basis of Sex,PG-13,120,7.0,2018,59
127,The Founder,PG-13,115,7.2,2016,66
128,The Traitor,R,145,7.1,2019,63
129,The Kid,R,100,5.9,2019,51
130,Elizabeth: The Golden Age,PG-13,114,6.8,2007,45
131,Boy Erased,R,115,6.9,2018,69
132,The Assassination of Jesse James by the Coward Robert Ford,R,160,7.5,2007,68
133,Red Joan,R,101,6.3,2018,45
134,Malcolm X,PG-13,202,7.7,1992,72
135,Stan & Ollie,PG,98,7.2,2018,75
136,Dangal,Not Rated,161,8.4,2016,
137,Battle of the Sexes,PG-13,121,6.7,2017,73
138,Fonzo,,,,,
139,The Bling Ring,R,90,5.6,2013,66
140,Donnie Brasco,R,127,7.7,1997,76
141,Wyatt Earp,PG-13,191,6.7,1994,47
142,Seven Years in Tibet,PG-13,136,7.1,1997,55
143,"Don't Worry, He Won't Get Far on Foot",R,114,6.9,2018,67
144,The Elephant Man,PG,124,8.1,1980,77
145,Operation Finale,PG-13,122,6.6,2018,58
146,Wild,R,115,7.1,2014,76
147,Mary Magdalene,R,120,5.8,2018,48
148,Dog Day Afternoon,R,125,8.0,1975,86
149,Foxcatcher,R,134,7.0,2014,81
150,Charlie Wilson's War,R,102,7.0,2007,67
151,Mask,PG-13,120,7.2,1985,73
152,The Look of Love,Not Rated,101,6.0,2013,57
153,127 Hours,R,94,7.6,2010,82
154,Alexander,R,175,5.6,2004,39
155,Trumbo,R,124,7.5,2015,60
156,Fire in the Sky,PG-13,109,6.6,1993,42
157,Butch Cassidy and the Sundance Kid,PG,110,8.0,1969,66
158,Changeling,R,141,7.7,2008,63
159,Welcome to Marwen,PG-13,116,6.1,2018,40
160,Bonnie and Clyde,R,111,7.8,1967,86
161,At Eternity's Gate,PG-13,111,6.9,2018,76
162,Snowden,R,134,7.3,2016,58
163,Chaplin,PG-13,143,7.6,1992,47
164,Black Mass,R,123,6.9,2015,68
165,Marie Antoinette,PG-13,123,6.4,2006,65
166,Ali,R,157,6.8,2001,65
167,The Duchess,PG-13,110,6.9,2008,62
168,Bronson,R,92,7.1,2008,71
169,Adrift,PG-13,96,6.6,2018,56
170,Serpico,R,130,7.7,1973,87
171,Midnight Express,R,121,7.6,1978,59
172,Shirley,,107,7.1,2020,85
173,Jungle,R,115,6.7,2017,48
174,Yip Man 3,PG-13,105,7.1,2015,57
175,Billionaire Boys Club,R,108,5.6,2018,30
176,Bloodsport,R,92,6.8,1988,29
177,The Basketball Diaries,R,102,7.3,1995,46
178,Saving Mr. Banks,PG-13,125,7.5,2013,65
179,Concussion,PG-13,123,7.1,2015,55
180,Professor Marston & the Wonder Women,R,108,7.1,2017,68
181,Selma,PG-13,128,7.5,2014,85
182,Hotel Rwanda,PG-13,121,8.1,2004,79
183,Wish Man,Not Rated,107,7.2,2019,
184,The Birth of a Nation,R,120,6.4,2016,69
185,The Last Emperor,PG-13,163,7.7,1987,76
186,The Glass Castle,PG-13,127,7.1,2017,56
187,Milk,R,128,7.5,2008,84
188,La Bamba,PG-13,108,6.9,1987,65
189,The New World,PG-13,135,6.7,2005,69
190,Alive,R,120,7.1,1993,
191,I Love You Phillip Morris,R,98,6.6,2009,65
192,Gandhi,PG,191,8.0,1982,79
193,Julie & Julia,PG-13,118,7.0,2009,66
194,Hell on the Border,R,106,5.1,2019,
195,Selena,PG,127,6.7,1997,67
196,The Insider,R,157,7.8,1999,84
197,Free State of Jones,R,139,6.9,2016,53
198,Finding Neverland,PG,106,7.7,2004,67
199,The Walk,PG,123,7.3,2015,70
200,My Friend Dahmer,R,107,6.2,2017,68
201,Man on the Moon,R,118,7.4,1999,58
202,The Other Boleyn Girl,PG-13,115,6.7,2008,50
203,Frida,R,123,7.4,2002,61
204,Pride,R,119,7.8,2014,79
205,Ray,PG-13,152,7.7,2004,73
206,Heavenly Creatures,R,99,7.3,1994,
207,Awakenings,PG-13,121,7.8,1990,74
208,Cleopatra,G,192,7.0,1963,60
209,Capote,R,114,7.3,2005,88
210,Hands of Stone,R,111,6.6,2016,54
211,Out of Africa,PG,161,7.2,1985,69
212,In the Name of the Father,R,133,8.1,1993,84
213,Bad Blood,,,,(I,
214,Chariots of Fire,PG,125,7.2,1981,78
215,The Stanford Prison Experiment,R,122,6.9,2015,67
216,The Doors,R,140,7.2,1991,62
217,Lords of Chaos,R,118,6.5,2018,48
218,Jobs,PG-13,128,5.9,2013,44
219,Untitled Elvis Presley Project,,,,2021,
220,Lords of Dogtown,PG-13,107,7.1,2005,56
221,The Killing Fields,R,141,7.8,1984,76
222,Escape from Alcatraz,PG,112,7.6,1979,76
223,Mob Girl,,,,2020,
224,Ip Man 2,R,108,7.5,2010,67
225,Ed Wood,R,127,7.8,1994,70
226,Colette,R,111,6.7,2018,74
227,The Falcon and the Snowman,R,131,6.8,1985,68
