,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Parasite,R,132,8.6,2019,96
1,Sonic the Hedgehog,PG,99,6.9,2020,47
2,Jojo Rabbit,PG-13,108,8.0,2019,58
3,Knives Out,PG-13,131,8.0,2019,82
4,Fantasy Island,PG-13,109,4.7,2020,21
5,Once Upon a Time... in Hollywood,R,161,7.7,2019,83
6,The Gentlemen,R,113,8.1,2019,51
7,Emma.,PG,125,6.8,2020,69
8,Jumanji: The Next Level,PG-13,123,6.9,2019,58
9,Dolittle,PG,101,5.5,2020,26
10,Bad Boys For Life,R,124,7.2,2020,59
11,Charlie's Angels,PG-13,118,4.4,2019,52
12,Frozen II,PG,103,7.1,2019,64
13,Toy Story 4,G,100,7.9,2019,84
14,Marriage Story,R,137,8.0,2019,93
15,The French Dispatch,R,108,,2020,
16,Downhill,R,86,4.9,2020,49
17,Hustlers,R,110,6.4,2019,79
18,6 Underground,R,128,6.1,2019,41
19,Onward,PG,114,7.0,2020,62
20,Cats,PG,110,2.8,2019,32
21,Fighting with My Family,PG-13,108,7.1,2019,68
22,Zombieland: Double Tap,R,99,6.8,2019,55
23,Isi & Ossi,,113,6.5,2020,
24,Greed,R,104,5.8,2019,60
25,The Jesus Rolls,R,85,4.4,2019,
26,The Two Popes,PG-13,125,7.6,2019,75
27,Booksmart,R,102,7.2,2019,84
28,Shubh Mangal Zyada Saavdhan,,117,6.9,2020,
29,Green Book,PG-13,130,8.2,2018,69
30,Shaft,R,111,6.4,2019,40
31,Ready or Not,R,95,6.8,2019,64
32,Sing,PG,108,7.1,2016,59
33,Shazam!,PG-13,132,7.1,2019,71
34,High Fidelity,R,113,7.5,2000,79
35,Bill & Ted Face the Music,,,,2020,
36,Impractical Jokers: The Movie,PG-13,93,7.5,2020,
37,Lady Bird,R,94,7.4,2017,94
38,"Three Billboards Outside Ebbing, Missouri",R,115,8.2,2017,88
39,Mr. Right,R,95,6.3,2015,52
40,The Peanut Butter Falcon,PG-13,97,7.7,2019,70
41,Jumanji: Welcome to the Jungle,PG-13,119,6.9,2017,58
42,Come to Daddy,R,96,6.1,2019,63
43,Guns Akimbo,R,95,7.5,2019,43
44,Thor: Ragnarok,PG-13,130,7.9,2017,74
45,The Other Guys,PG-13,107,6.6,2010,64
46,The Breakfast Club,R,97,7.9,1985,62
47,Jay and Silent Bob Reboot,R,105,5.8,2019,46
48,Playing with Fire,PG,96,4.8,2019,24
49,Back to the Future,PG,116,8.5,1985,87
50,Yesterday,PG-13,116,6.9,2019,55
51,Dazed and Confused,R,102,7.6,1993,78
52,The Favourite,R,119,7.6,2018,90
53,The Grand Budapest Hotel,R,99,8.1,2014,88
54,Last Christmas,PG-13,103,6.5,2019,50
55,Frozen,PG,102,7.5,2013,74
56,Coming 2 America,,,,2020,
57,Guardians of the Galaxy,PG-13,121,8.0,2014,76
58,The Farewell,PG,100,7.7,2019,89
59,The Addams Family,PG,86,5.8,2019,46
60,Bad Boys,R,119,6.9,1995,41
61,Risky Business,R,99,6.8,1983,75
62,Can You Keep a Secret?,,94,5.3,2019,35
63,Baywatch,R,116,5.5,2017,37
64,Villains,R,90,6.2,2019,63
