,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,R,109,6.6,2020,60
1,Knives Out,PG-13,131,8.0,2019,82
2,The Batman,,,,2021,
3,Uncut Gems,R,135,7.6,2019,90
4,Joker,R,122,8.6,2019,59
5,The Gentlemen,R,113,8.1,2019,51
6,Bad Boys For Life,R,124,7.2,2020,59
7,The Irishman,R,209,8.0,2019,94
8,The Last Thing He Wanted,R,115,4.3,2020,35
9,Hustlers,R,110,6.4,2019,79
10,21 Bridges,R,99,6.6,2019,51
11,Queen & Slim,R,132,7.0,2019,74
12,The Godfather,R,175,9.2,1972,100
13,F9,,135,,2020,
14,The Dark Knight,PG-13,152,9.0,2008,84
15,The Night Clerk,R,90,5.1,2020,45
16,Good Time,R,101,7.3,2017,80
17,The Jesus Rolls,R,85,4.4,2019,
18,Richard Jewell,R,131,7.5,2019,68
19,Motherless Brooklyn,R,144,6.9,2019,60
20,Pulp Fiction,R,154,8.9,1994,94
21,Malang,,135,6.7,2020,
22,Shaft,R,111,6.4,2019,40
23,John Wick: Chapter 3 - Parabellum,R,131,7.5,2019,73
24,The Wolf of Wall Street,R,180,8.2,2013,75
25,The Silence of the Lambs,R,118,8.6,1991,85
26,"Three Billboards Outside Ebbing, Missouri",R,115,8.2,2017,88
27,Memories of Murder,Not Rated,132,8.1,2003,82
28,Spiral,,,,2020,
29,El Camino: A Breaking Bad Movie,TV-MA,122,7.4,2019,72
30,The Other Guys,PG-13,107,6.6,2010,64
31,The Godfather: Part II,R,202,9.0,1974,90
32,Baby Driver,R,113,7.6,2017,86
33,West Side Story,,,,2020,
34,The Grand Budapest Hotel,R,99,8.1,2014,88
35,Taxi Driver,R,114,8.3,1976,94
36,The Good Liar,R,109,6.5,2019,55
37,Goodfellas,R,146,8.7,1990,90
38,Prisoners,R,153,8.1,2013,74
39,The Green Mile,R,189,8.6,1999,61
40,Bad Boys,R,119,6.9,1995,41
41,The Departed,R,151,8.5,2006,85
42,Risky Business,R,99,6.8,1983,75
43,Baywatch,R,116,5.5,2017,37
44,Se7en,R,127,8.6,1995,65
45,Code 8,,98,6.1,2019,
46,Léon: The Professional,R,110,8.5,1994,64
47,John Wick,R,101,7.4,2014,68
48,Snatch,R,102,8.3,2000,55
49,A Simple Favor,R,117,6.8,2018,67
50,American Psycho,R,101,7.6,2000,64
51,No Country for Old Men,R,122,8.1,2007,91
52,True History of the Kelly Gang,R,124,5.9,2019,83
53,Mother,R,129,7.8,2009,79
54,True Romance,R,119,7.9,1993,59
55,Zodiac,R,157,7.7,2007,78
56,The Hateful Eight,R,168,7.8,2015,68
57,Scarface,R,170,8.3,1983,65
58,The Outsiders,PG,91,7.1,1983,41
59,The Laundromat,R,95,6.3,2019,57
60,BlacKkKlansman,R,135,7.5,2018,83
61,The Informer,R,113,6.5,2019,64
62,Ocean's 8,PG-13,110,6.2,2018,61
63,Kill Bill: Vol. 1,R,111,8.1,2003,69
64,Reservoir Dogs,R,99,8.3,1992,79
65,Mardaani 2,Not Rated,103,7.4,2019,
66,"Extremely Wicked, Shockingly Evil and Vile",R,110,6.6,2019,52
67,A Clockwork Orange,R,136,8.3,1971,80
68,Bad Boys II,R,147,6.6,2003,38
69,The Godfather: Part III,R,162,7.6,1990,60
70,The Big Lebowski,R,117,8.1,1998,71
71,Logan Lucky,PG-13,118,7.0,2017,78
72,Zootopia,PG,108,8.0,2016,78
73,John Wick: Chapter 2,R,122,7.5,2017,75
74,Murder on the Orient Express,PG-13,114,6.5,2017,52
75,The Report,R,119,7.2,2019,66
76,Promising Young Woman,,113,6.5,2020,74
77,The Hustle,PG-13,93,5.4,2019,35
78,Spenser Confidential,R,111,,2020,
79,Clue,PG,94,7.3,1985,36
80,Polar,TV-MA,118,6.3,2019,19
81,The Girl with the Dragon Tattoo,R,158,7.8,2011,71
82,Man on Fire,R,146,7.7,2004,47
83,The Usual Suspects,R,106,8.5,1995,77
84,You Were Never Really Here,R,89,6.8,2017,84
85,Running with the Devil,R,100,5.4,2019,42
86,Heat,R,170,8.2,1995,76
87,Key Largo,Not Rated,100,7.8,1948,
88,Jackie Brown,R,154,7.5,1997,64
89,Under the Silver Lake,R,139,6.5,2018,60
90,Sicario,R,121,7.6,2015,82
91,Triple Frontier,R,125,6.5,2019,61
92,Boyz n the Hood,R,112,7.7,1991,76
93,Murder Mystery,PG-13,97,6.0,2019,38
94,Drive,R,100,7.8,2011,78
95,The Mule,R,116,7.0,2018,58
96,Catch Me If You Can,PG-13,141,8.1,2002,75
97,Widows,R,129,6.9,2018,84
98,The Longest Yard,PG-13,113,6.4,2005,48
99,The Whistlers,,97,6.6,2019,74
100,Bad Times at the El Royale,R,141,7.1,2018,60
101,The Invisible Guest,,106,8.1,2016,
102,Looper,R,113,7.4,2012,84
103,Spotlight,R,129,8.1,2015,93
104,American Hustle,R,138,7.2,2013,90
105,Legend,R,132,6.9,2015,55
106,Night Hunter,R,98,5.8,2018,31
107,Cold Pursuit,R,119,6.2,2019,57
108,The Accountant,R,128,7.3,2016,51
109,The House That Jack Built,R,152,6.8,2018,42
110,In the Shadow of the Moon,TV-MA,115,6.2,2019,48
111,Black and Blue,R,108,6.2,2019,54
112,Fargo,R,98,8.1,1996,85
113,The Warriors,R,92,7.6,1979,65
114,The Fast and the Furious,PG-13,106,6.8,2001,58
115,Les Misérables,R,104,7.8,2019,78
116,American Made,R,115,7.1,2017,65
117,We're the Millers,R,110,7.0,2013,44
118,The Talented Mr. Ripley,R,139,7.4,1999,76
119,Once Upon a Time in America,R,229,8.4,1984,
120,Nightcrawler,R,117,7.9,2014,76
121,From Dusk Till Dawn,R,108,7.2,1996,48
122,City of God,R,130,8.6,2002,79
123,The Mask,PG-13,101,6.9,1994,56
124,Bloodline,R,97,6.0,2018,50
125,Charlie's Angels,PG-13,98,5.5,2000,52
126,A Nightmare on Elm Street,R,95,5.2,2010,35
127,Hell or High Water,R,102,7.6,2016,88
128,Molly's Game,R,140,7.4,2017,71
129,Sin City,R,124,8.0,2005,74
130,"Lock, Stock and Two Smoking Barrels",R,107,8.2,1998,66
131,End of Watch,R,109,7.6,2012,68
132,Wind River,R,107,7.7,2017,73
133,Spring Breakers,R,94,5.3,2012,63
134,Gone in 60 Seconds,PG-13,118,6.5,2000,35
135,Hatsukoi,TV-MA,108,7.1,2019,76
136,Now You See Me,PG-13,115,7.3,2013,50
137,In Bruges,R,107,7.9,2008,67
138,Casino,R,178,8.2,1995,73
139,I See You,R,96,6.6,2019,65
140,Killers of the Flower Moon,,,,2021,
141,Gangs of New York,R,167,7.5,2002,72
142,Point Break,R,122,7.3,1991,58
143,Dirty Harry,R,102,7.7,1971,90
144,Kill Bill: Vol. 2,R,137,8.0,2004,83
145,Official Secrets,R,112,7.3,2019,63
146,Death on the Nile,,,,2020,
147,The Town,R,125,7.5,2010,74
148,Ocean's Eleven,PG-13,116,7.8,2001,74
149,Bright,TV-MA,117,6.3,2017,29
150,The Woman in the Window,R,,,2020,
151,Game Night,R,100,6.9,2018,66
152,Higher Learning,R,127,6.5,1995,54
153,Dragged Across Concrete,R,159,7.0,2018,60
154,Sicario: Day of the Soldado,R,122,7.1,2018,61
155,The Fast and the Furious: Tokyo Drift,PG-13,104,6.0,2006,45
156,Crash,R,112,7.8,2004,69
157,Captain Phillips,PG-13,134,7.8,2013,83
158,Fantastic Mr. Fox,PG,87,7.8,2009,83
159,Inherent Vice,R,148,6.7,2014,81
160,The Snowman,R,119,5.1,2017,23
161,Wonderland,R,104,6.6,2003,43
162,Primal Fear,R,129,7.7,1996,47
163,The Sisters Brothers,R,122,7.0,2018,78
164,Term Life,R,93,5.5,2016,23
165,Sherlock Holmes,PG-13,128,7.6,2009,57
166,The Highwaymen,R,132,6.9,2019,58
167,Training Day,R,122,7.7,2001,69
