,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,McMillions,TV-14,60,7.6,20– ,
1,The Pharmacist,TV-MA,215,7.9,2020,
2,Washington,,,8.4,20– ,
3,American Factory,TV-14,110,7.4,2019,86
4,Don't F**k with Cats: Hunting an Internet Killer,TV-MA,187,8.1,2019,
5,Cheer,TV-MA,58,8.2,20– ,
6,The Curse of Oak Island,TV-PG,60,7.0,14– ,
7,Honeyland,Unrated,89,8.0,2019,86
8,Roman Empire,TV-MA,48,6.9,16– ,
9,Taylor Swift: Miss Americana,TV-MA,85,7.4,2020,65
10,For Sama,TV-PG,96,8.5,2019,89
11,I Am a Killer,TV-MA,52,7.5,2020,
12,Night on Earth,TV-PG,290,8.4,2020,
13,Planet Earth II,TV-G,298,9.5,2016,
14,Ghost Adventures,TV-PG,45,7.5,08– ,
15,Formula 1: Drive to Survive,,40,8.6,19– ,
16,Addicted to Sexting,Not Rated,80,3.8,2015,
17,Cosmos,TV-PG,557,9.3,2014,
18,They Shall Not Grow Old,R,99,8.3,2018,91
19,The Goop Lab,TV-MA,30,2.3,20– ,
20,The Chef Show,TV-14,30,8.2,19– ,
21,Killer Inside: The Mind of Aaron Hernandez,TV-MA,202,7.4,2020,
22,Fantasy Flirt,TV-MA,25,7.1,2018,
23,Ancient Aliens,TV-PG,90,7.3,09– ,
24,Hot Girls Wanted,,84,6.1,2015,
25,The Game Changers,,108,8.0,2018,
26,The Vietnam War,TV-MA,990,9.1,2017,
27,Our Planet,TV-G,403,9.3,2019,
28,The Cave,PG-13,107,7.4,2019,83
29,Free Solo,PG-13,100,8.2,2018,83
30,Forensic Files,TV-14,30,8.8,2011,
31,Apollo 11,G,93,8.2,2019,88
32,Pandemic: How to Prevent an Outbreak,,50,6.1,20– ,
33,Ted Bundy: Falling for a Killer,TV-MA,231,8.0,2020,
34,Won't You Be My Neighbor?,PG-13,95,8.4,2018,85
35,Making a Murderer,TV-14,60,8.6,15– ,
36,Casting Calls,Not Rated,3,7.0,18– ,
37,"Seven Worlds, One Planet",TV-PG,407,9.4,19– ,
38,Visible: Out on Television,TV-MA,307,8.0,2020,
39,Nathan for You,TV-14,30,8.8,2017,
40,Wrinkles the Clown,,75,4.7,2019,53
41,Inside Look: The People v. O.J. Simpson - American Crime Story,TV-14,5,8.4,2016,
42,Planet Earth,TV-PG,538,9.4,2006,
43,After Porn Ends 3,TV-MA,86,5.3,2018,
44,Patterns of Evidence: The Red Sea Miracle,PG-13,150,5.7,2020,
45,Tell Me Who I Am,TV-MA,85,7.7,2019,69
46,Earthlings,,95,8.7,2005,
47,Slow Burn,TV-14,60,7.7,20– ,
48,The Last Czars,TV-MA,45,7.3,19– ,
49,Justin Bieber: Seasons,,,4.9,20– ,
50,MythBusters,TV-PG,44,8.3,03– ,
51,The Staircase,TV-MA,629,7.9,2018,
52,The Biggest Little Farm,PG,91,8.0,2018,73
53,Inside Look: The Assassination of Gianni Versace - American Crime Story,TV-MA,3,7.7,2018,
54,Dateline NBC,,60,6.8,92– ,
55,The World at War,TV-PG,52,9.2,1976,
56,The Incredible Dr. Pol,,44,8.7,11– ,
57,Once Were Brothers: Robbie Robertson and the Band,R,100,7.2,2019,61
58,Wild Wild Country,TV-MA,403,8.2,2018,
59,Rocco,TV-MA,105,5.8,2016,
60,#cats_the_mewvie,,90,5.3,2020,
61,The Great Hack,TV-MA,114,7.0,2019,67
62,Life Below Zero,TV-PG,44,8.0,13– ,
63,"Finding Your Roots with Henry Louis Gates, Jr.",TV-PG,53,8.4,12– ,
64,After Porn Ends,Not Rated,94,5.7,2012,
65,Hot Girls Wanted: Turned On,TV-MA,46,6.7,17– ,
66,Explained,TV-MA,18,8.0,18– ,
67,Fyre,TV-MA,97,7.2,2019,75
68,The Jinx: The Life and Deaths of Robert Durst,TV-14,279,8.7,2015,
69,Uppity: The Willy T. Ribbs Story,,109,8.1,2020,
70,Playmate Playback,TV-MA,30,6.7,2017,
71,The Edge of Democracy,TV-14,121,7.1,2019,81
72,Escape to the Chateau,,,8.5,2019,
73,Fantastic Fungi,Not Rated,81,8.1,2019,70
74,Travel Man: 48 Hours in...,Not Rated,24,8.3,15– ,
75,30 for 30,,60,8.8,09– ,
76,The Devil Next Door,TV-MA,229,7.6,2019,
77,Richard Hammond's Big!,,,8.1,20– ,
78,Three Identical Strangers,PG-13,96,7.7,2018,81
79,Colectiv,,109,8.6,2019,
80,One Strange Rock,TV-PG,47,8.9,18– ,
81,Icarus,TV-MA,120,7.9,2017,68
82,Chef's Table,TV-MA,50,8.6,15– ,
83,The Food That Built America,,,8.5,19– ,
84,Blue Planet II,TV-G,364,9.4,2018,
85,Air Emergency,TV-14,60,8.8,03– ,
86,Greatest Events of WWII in Colour,,50,8.8,19– ,
87,Evil Genius: The True Story of America's Most Diabolical Bank Heist,TV-MA,192,7.6,2018,
88,Lore,TV-14,40,6.7,2018,
89,"Sex, Explained",,,6.8,20– ,
90,Not for Resale,,86,6.9,2019,
91,Learning to Skateboard in a Warzone (If You're a Girl),TV-MA,39,7.4,2019,
92,Koyaanisqatsi,Not Rated,86,8.3,1982,72
93,Conversations with a Killer: The Ted Bundy Tapes,TV-MA,236,7.8,2019,
94,The Confession Killer,TV-14,240,7.5,2019,
95,The Act of Killing,Not Rated,117,8.2,2012,90
96,Real Detective,,43,8.1,16– ,
97,Dirty Money,TV-14,60,8.1,18– ,
98,Leaving Neverland,TV-MA,240,7.0,2019,
99,James May: Our Man in Japan,,,8.5,2020,
100,Wrong Man,TV-MA,60,6.9,18– ,
101,The Secret,PG,90,5.6,ideo,
102,Hip-Hop Evolution,TV-MA,90,8.4,16– ,
103,The Family,TV-14,249,6.4,19– ,
104,The Dawn Wall,Not Rated,100,8.1,2017,81
105,Wheeler Dealers,,22,8.2,03– ,
106,Diego Maradona,TV-14,130,7.7,2019,78
107,The Keepers,TV-MA,436,8.1,2017,
108,Babies,,,7.0,20– ,
109,Samsara,PG-13,102,8.5,2011,65
110,The Last Waltz,PG,117,8.2,1978,88
111,Unsolved Mysteries,TV-PG,60,8.3,2010,
112,In Search of Darkness,,264,8.1,2019,
113,Abducted in Plain Sight,TV-14,91,6.8,2017,
114,Mommy Dead and Dearest,TV-MA,82,7.4,2017,
115,No Small Parts,Not Rated,30,8.0,14– ,
116,How the Universe Works,TV-PG,60,9.0,10– ,
117,The Dissident,,119,8.9,2020,85
118,Lost Lives,,93,7.6,2019,
119,Super Size Me,PG,100,7.2,2004,73
120,Alone,,44,8.4,15– ,
121,The Irishman: In Conversation,TV-MA,23,7.4,2019,
122,Jackass: The Movie,R,87,6.6,2002,42
123,Catfish,PG-13,87,7.1,2010,65
