,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Parasite,R,132,8.6,2019,96
1,Jojo Rabbit,PG-13,108,8.0,2019,58
2,1917,R,119,8.5,2019,78
3,Knives Out,PG-13,131,8.0,2019,82
4,The Batman,,,,2021,
5,Uncut Gems,R,135,7.6,2019,90
6,Once Upon a Time... in Hollywood,R,161,7.7,2019,83
7,Joker,R,122,8.6,2019,59
8,The Call of the Wild,PG,100,6.8,2020,47
9,Ford v Ferrari,PG-13,152,8.2,2019,81
10,Emma.,PG,125,6.8,2020,69
11,To All the Boys: P.S. I Still Love You,TV-14,101,6.1,2020,54
12,Little Women,PG,135,8.0,2019,91
13,Doctor Sleep,R,152,7.4,2019,59
14,Midway,PG-13,138,6.7,2019,47
15,The Irishman,R,209,8.0,2019,94
16,Midsommar,R,148,7.2,2019,72
17,The Lighthouse,R,109,7.7,2019,83
18,Marriage Story,R,137,8.0,2019,93
19,The Last Thing He Wanted,R,115,4.3,2020,35
20,The French Dispatch,R,108,,2020,
21,Horse Girl,R,103,5.9,2020,61
22,Dark Waters,PG-13,126,7.6,2019,72
23,Snowpiercer,R,126,7.1,2013,84
24,Downhill,R,86,4.9,2020,49
25,After We Collided,,,,2020,
26,A Beautiful Day in the Neighborhood,PG,109,7.4,2019,80
27,Hustlers,R,110,6.4,2019,79
28,To All the Boys I've Loved Before,TV-14,99,7.2,2018,64
29,Avengers: Endgame,PG-13,181,8.5,2019,78
30,The Lion King,PG,118,6.9,2019,55
31,21 Bridges,R,99,6.6,2019,51
32,Bombshell,R,109,6.8,2019,64
33,Queen & Slim,R,132,7.0,2019,74
34,Portrait of a Lady on Fire,R,122,8.2,2019,95
35,The Photograph,PG-13,106,6.2,2020,63
36,Judy,PG-13,118,6.9,2019,66
37,The Godfather,R,175,9.2,1972,100
38,The Green Knight,,,,2020,
39,Honey Boy,R,94,7.4,2019,73
40,The Secret Garden,,,,2020,
41,Blade Runner 2049,R,164,8.0,2017,81
42,Cats,PG,110,2.8,2019,32
43,The Shawshank Redemption,R,142,9.3,1994,80
44,The Dark Knight,PG-13,152,9.0,2008,84
45,Tenet,,,,2020,
46,Bloodshot,PG-13,109,5.8,2020,
47,After,PG-13,105,5.4,2019,30
48,Mulan,PG-13,,,2020,
49,The Night Clerk,R,90,5.1,2020,45
50,Ad Astra,PG-13,123,6.6,2019,80
51,Fighting with My Family,PG-13,108,7.1,2019,68
52,Okja,TV-MA,120,7.3,2017,75
53,The Way Back,R,108,,2020,
54,Greed,R,104,5.8,2019,60
55,Inglourious Basterds,R,153,8.3,2009,69
56,Good Time,R,101,7.3,2017,80
57,The Lodge,R,108,6.6,2019,64
