,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Sonic the Hedgehog,PG,99,6.9,2020,47
1,The Call of the Wild,PG,100,6.8,2020,47
2,Dolittle,PG,101,5.5,2020,26
3,Frozen II,PG,103,7.1,2019,64
4,Toy Story 4,G,100,7.9,2019,84
5,The Lion King,PG,118,6.9,2019,55
6,Onward,PG,114,7.0,2020,62
7,The Secret Garden,,,,2020,
8,Cats,PG,110,2.8,2019,32
9,Mulan,PG-13,,,2020,
10,Maleficent: Mistress of Evil,PG,119,6.7,2019,43
11,Aladdin,PG,128,7.0,2019,53
12,Sing,PG,108,7.1,2016,59
13,Harry Potter and the Sorcerer's Stone,PG,152,7.6,2001,64
14,Playing with Fire,PG,96,4.8,2019,24
15,Frozen,PG,102,7.5,2013,74
16,Spider-Man: Into the Spider-Verse,PG,117,8.4,2018,87
17,Little Women,PG,115,7.3,1994,87
18,The Addams Family,PG,86,5.8,2019,46
19,The Lion King,G,88,8.5,1994,88
20,Pokémon Detective Pikachu,PG,104,6.6,2019,53
21,Troop Zero,PG,94,7.0,2019,59
22,Togo,PG,113,8.1,2019,71
23,The Karate Kid,PG,126,7.2,1984,60
24,Timmy Failure: Mistakes Were Made,PG,99,6.3,2020,63
25,Toy Story,G,81,8.3,1995,95
26,The Secret Life of Pets 2,PG,86,6.5,2019,55
27,The Goonies,PG,114,7.8,1985,62
28,Fantastic Beasts: The Crimes of Grindelwald,PG-13,134,6.6,2018,52
29,Moana,PG,107,7.6,2016,81
30,A Shaun the Sheep Movie: Farmageddon,G,86,6.9,2019,79
31,The Princess Bride,PG,98,8.1,1987,77
32,Hook,PG,142,6.8,1991,52
33,Harry Potter and the Goblet of Fire,PG-13,157,7.7,2005,81
34,Spirited Away,PG,125,8.6,2001,96
35,Jumanji,PG,104,7.0,1995,39
36,Dragon Quest: Your Story,,103,6.6,2019,
37,Maleficent,PG,97,7.0,2014,56
38,Dora and the Lost City of Gold,PG,102,6.0,2019,63
39,Spies in Disguise,PG,102,6.8,2019,54
40,Zootopia,PG,108,8.0,2016,78
41,Wonder,PG,113,8.0,2017,66
42,Beauty and the Beast,PG,129,7.1,2017,65
43,Peter Rabbit,PG,95,6.5,2018,51
44,The Hobbit: An Unexpected Journey,PG-13,169,7.8,2012,58
45,Trolls World Tour,PG,,,2020,
46,Percy Jackson & the Olympians: The Lightning Thief,PG,118,5.9,2010,47
47,The Sound of Music,G,172,8.0,1965,63
48,Scoob!,,,,2020,
49,Abominable,PG,97,7.0,2019,61
50,The Sandlot,PG,101,7.8,1993,55
51,"Honey, I Shrunk the Kids",PG,93,6.3,1989,63
52,Coco,PG,105,8.4,2017,81
53,Harry Potter and the Prisoner of Azkaban,PG,142,7.9,2004,82
54,Mary Poppins Returns,PG,130,6.7,2018,66
55,Tangled,PG,100,7.7,2010,71
56,Cars,G,117,7.1,2006,73
57,Charlie and the Chocolate Factory,PG,115,6.6,2005,72
58,Lady and the Tramp,PG,103,6.3,2019,48
59,My Neighbor Totoro,G,86,8.2,1988,86
60,Klaus,PG,96,8.2,2019,65
61,Stardust,PG-13,127,7.6,2007,66
62,Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,98,6.3,2019,
63,Matilda,PG,102,6.9,1996,72
64,Ratatouille,G,111,8.0,2007,96
65,Jungle Cruise,,,,2020,
66,My Hero Academia: Heroes Rising,PG-13,104,7.9,2019,
67,Toy Story 3,G,103,8.3,2010,92
68,Cinderella,PG,105,6.9,2015,67
69,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,143,6.9,2005,75
70,Harry Potter and the Chamber of Secrets,PG,161,7.4,2002,63
71,Mary Poppins,G,139,7.8,1964,88
72,Cheaper by the Dozen,PG,98,5.9,2003,46
73,Teenage Mutant Ninja Turtles,PG,93,6.8,1990,51
74,The Wizard of Oz,PG,102,8.0,1939,100
75,Willy Wonka & the Chocolate Factory,G,100,7.8,1971,67
76,Artemis Fowl,PG,,,2020,
77,E.T. the Extra-Terrestrial,PG,115,7.8,1982,91
78,Mulan,G,88,7.6,1998,71
79,Inside Out,PG,95,8.2,2015,94
80,Minions: The Rise of Gru,,,,2020,
81,Shrek,PG,90,7.8,2001,84
82,Space Jam,PG,88,6.4,1996,59
83,Harry Potter and the Order of the Phoenix,PG-13,138,7.5,2007,71
84,Aladdin,G,90,8.0,1992,86
85,Harry Potter and the Half-Blood Prince,PG,153,7.6,2009,78
86,Harry Potter and the Deathly Hallows: Part 1,PG-13,146,7.7,2010,65
87,Incredibles 2,PG,118,7.6,2018,80
88,Up,PG,96,8.2,2009,88
89,The Incredibles,PG,115,8.0,2004,90
90,Fantastic Beasts and Where to Find Them,PG-13,132,7.3,2016,66
91,How to Train Your Dragon: The Hidden World,PG,104,7.5,2019,71
92,My Spy,PG-13,99,5.3,2020,
93,Finding Nemo,G,100,8.1,2003,90
94,"Monsters, Inc.",G,92,8.0,2001,79
95,Sky High,PG,100,6.2,2005,62
96,Mrs. Doubtfire,PG-13,125,7.0,1993,53
97,Missing Link,PG,93,6.7,2019,68
98,Scooby-Doo,PG,86,5.0,2002,35
99,Fantastic Mr. Fox,PG,87,7.8,2009,83
100,Hugo,PG,126,7.5,2011,83
101,Castle in the Sky,PG,125,8.0,1986,78
102,The Secret Garden,G,101,7.3,1993,74
103,The Mighty Ducks,PG,104,6.5,1992,46
104,Night at the Museum,PG,108,6.4,2006,48
105,Hercules,G,93,7.3,1997,74
106,Home Alone,PG,103,7.6,1990,63
107,The Little Mermaid,G,83,7.6,1989,88
108,The Lego Movie 2: The Second Part,PG,107,6.6,2019,65
109,Soul,,,,2020,
110,The Rocketeer,PG,108,6.5,1991,61
111,Howl's Moving Castle,PG,119,8.2,2004,80
112,The Princess and the Frog,G,97,7.1,2009,73
113,Ralph Breaks the Internet,PG,112,7.1,2018,71
114,The SpongeBob Movie: Sponge on the Run,,,,2020,
115,Toy Story 2,G,92,7.9,1999,88
116,Return to Oz,PG,113,6.7,1985,42
117,Peter Pan,PG,113,6.8,2003,64
118,Beauty and the Beast,G,84,8.0,1991,95
119,WALL·E,G,98,8.4,2008,95
120,Super Mario Bros.,PG,104,4.0,1993,
121,A League of Their Own,PG,128,7.2,1992,67
122,The Angry Birds Movie 2,PG,97,6.4,2019,60
123,The NeverEnding Story,PG,102,7.4,1984,46
124,Kiki's Delivery Service,G,103,7.9,1989,83
125,Dumbo,PG,112,6.3,2019,51
126,The Last Airbender,PG,103,4.1,2010,20
127,Percy Jackson: Sea of Monsters,PG,106,5.8,2013,39
128,A Bug's Life,G,95,7.2,1998,77
129,Peter Rabbit 2: The Runaway,PG,,,2020,
130,The Princess Diaries,G,111,6.3,2001,52
131,Alice in Wonderland,PG,108,6.4,2010,53
132,Labyrinth,PG,101,7.4,1986,50
133,Enchanted,PG,107,7.0,2007,75
134,Who Framed Roger Rabbit,PG,104,7.7,1988,83
135,The Golden Compass,PG-13,113,6.1,2007,51
136,The Parent Trap,PG,128,6.5,1998,64
137,Trolls,PG,92,6.5,2016,56
138,Big Hero 6,PG,102,7.8,2014,74
139,The Jungle Book,PG,106,7.4,2016,77
140,Brave,PG,93,7.1,2012,69
141,The Little Mermaid,,,,(III,
142,Holes,PG,117,7.0,2003,71
143,Raya and the Last Dragon,,,,2020,
144,Chitty Chitty Bang Bang,G,144,6.9,1968,64
145,My Girl,PG,102,6.9,1991,56
146,Cinderella,,,,2021,
147,The Call of the Wild,PG,100,6.0,1972,
148,Despicable Me,PG,95,7.6,2010,72
149,Popeye,PG,114,5.3,1980,64
150,Bridge to Terabithia,PG,96,7.1,2007,74
151,Wreck-It Ralph,PG,101,7.7,2012,72
152,Monsters University,G,104,7.3,2013,65
153,The BFG,PG,117,6.4,2016,66
154,Around the World in 80 Days,G,175,6.8,1956,
155,Rango,PG,107,7.2,2011,75
156,The Pacifier,PG,95,5.6,2005,30
157,The Jungle Book,G,78,7.6,1967,65
158,Free Willy,PG,112,5.9,1993,79
159,The Adventures of Tintin,PG,107,7.3,2011,68
160,The Witches,,,,2020,
161,The Little Rascals,PG,82,6.3,1994,45
162,Wonder Park,PG,85,5.8,2019,45
163,Real Steel,PG-13,127,7.1,2011,56
164,Horrible Histories: The Movie - Rotten Romans,,92,5.2,2019,
165,Coraline,PG,100,7.7,2009,80
166,It's a Wonderful Life,Not Rated,130,8.6,1946,89
167,Heavyweights,PG,100,6.6,1995,42
168,Newsies,PG,121,7.0,1992,46
169,Fantastic Beasts and Where to Find Them 3,,,,2021,
170,Shrek 2,PG,93,7.2,2004,75
171,Zoom,PG,83,4.3,2006,26
172,Cars 3,G,102,6.7,2017,59
173,Finding Dory,PG,97,7.3,2016,77
174,Shrek the Third,PG,93,6.0,2007,58
175,The Secret Life of Pets,PG,87,6.5,2016,61
176,A Cinderella Story,PG,95,5.9,2004,25
177,Journey 2: The Mysterious Island,PG,94,5.8,2012,41
178,How to Train Your Dragon,PG,98,8.1,2010,75
179,The Hunchback of Notre Dame,G,91,6.9,1996,74
180,Lemony Snicket's A Series of Unfortunate Events,PG,108,6.8,2004,62
181,The Croods 2,,,,2020,
182,Robots,PG,91,6.3,2005,64
183,Despicable Me 3,PG,89,6.3,2017,49
184,Hotel Transylvania 3: Summer Vacation,PG,97,6.3,2018,54
185,Robin Hood,G,83,7.6,1973,57
186,Ice Age,PG,81,7.5,2002,60
187,The House with a Clock in Its Walls,PG,105,6.0,2018,57
188,Tomorrowland,PG,130,6.4,2015,60
189,Shrek Forever After,PG,93,6.3,2010,58
190,The Lego Movie,PG,100,7.8,2014,83
191,Diary of a Wimpy Kid,PG,94,6.2,2010,56
192,The AristoCats,G,78,7.1,1970,66
193,A Dog's Journey,PG,109,7.4,2019,43
194,Lilo & Stitch,PG,85,7.2,2002,73
195,Swiss Family Robinson,G,126,7.2,1960,61
196,Cheaper by the Dozen 2,PG,94,5.5,2005,34
197,UglyDolls,PG,87,4.9,2019,39
198,The Karate Kid Part II,PG,113,6.0,1986,55
199,A Little Princess,G,97,7.7,1995,83
200,The Karate Kid,PG,140,6.2,2010,61
201,Spy Kids,PG,88,5.4,2001,71
202,Pocahontas,G,81,6.7,1995,58
203,The Adventures of Sharkboy and Lavagirl 3-D,PG,93,3.5,2005,38
204,The Flintstones,PG,91,4.9,1994,38
205,Rumble,,,,2020,
206,"Honey, I Blew Up the Kid",PG,89,4.8,1992,50
207,The Lego Batman Movie,PG,104,7.3,2017,75
208,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,113,6.3,2010,53
209,Hocus Pocus,PG,96,6.8,1993,
210,The Kid Who Would Be King,PG,120,6.0,2019,66
211,Hachi: A Dog's Tale,G,93,8.1,2009,
212,The Chronicles of Narnia: Prince Caspian,PG,150,6.5,2008,62
213,A Dog's Purpose,PG,100,7.2,2017,43
214,The Flintstones in Viva Rock Vegas,PG,90,3.6,2000,27
215,Space Jam 2,,,,2021,
216,Treasure Planet,PG,95,7.2,2002,60
217,Tarzan,G,88,7.3,1999,79
218,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,88,6.0,1991,45
219,Madagascar,PG,86,6.9,2005,57
220,Snow White and the Seven Dwarfs,G,83,7.6,1937,95
221,Christopher Robin,PG,104,7.3,2018,60
222,The Emperor's New Groove,G,78,7.3,2000,70
223,The Prince of Egypt,PG,99,7.1,1998,64
224,How the Grinch Stole Christmas,PG,104,6.1,2000,46
225,Flight of the Navigator,PG,90,6.9,1986,64
226,The Croods,PG,98,7.2,2013,55
227,Nancy Drew and the Hidden Staircase,PG,89,5.7,2019,55
228,Cinderella,G,74,7.3,1950,85
229,The Good Dinosaur,PG,93,6.7,2015,66
230,101 Dalmatians,G,103,5.7,1996,49
231,Paddington 2,PG,103,7.8,2017,88
232,Cars 2,G,106,6.1,2011,57
233,The Three Musketeers,PG,105,6.4,1993,43
234,Sister Act 2: Back in the Habit,PG,107,5.6,1993,38
235,Big Fat Liar,PG,88,5.4,2002,36
