,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Jumanji: The Next Level,PG-13,123,6.9,2019,58
1,Dolittle,PG,101,5.5,2020,26
2,Doctor Sleep,R,152,7.4,2019,59
3,Frozen II,PG,103,7.1,2019,64
4,The Lighthouse,R,109,7.7,2019,83
5,Toy Story 4,G,100,7.9,2019,84
6,Star Wars: The Rise Of Skywalker,PG-13,142,6.8,2019,53
7,The Green Knight,,,,2020,
8,Suicide Squad,PG-13,123,6.0,2016,40
9,Onward,PG,114,7.0,2020,62
10,Gretel & Hansel,PG-13,87,5.4,2020,64
11,The Secret Garden,,,,2020,
12,Cats,PG,110,2.8,2019,32
13,Maleficent: Mistress of Evil,PG,119,6.7,2019,43
14,Aladdin,PG,128,7.0,2019,53
15,It Chapter Two,R,169,6.6,2019,58
16,Eternals,,,,2020,
17,Wonder Woman 1984,,,,2020,
18,Shazam!,PG-13,132,7.1,2019,71
19,Harry Potter and the Sorcerer's Stone,PG,152,7.6,2001,64
20,Jumanji: Welcome to the Jungle,PG-13,119,6.9,2017,58
21,The Suicide Squad,,,,2021,
22,The Lord of the Rings: The Fellowship of the Ring,PG-13,178,8.8,2001,92
23,Aquaman,PG-13,143,7.0,2018,55
24,Thor: Ragnarok,PG-13,130,7.9,2017,74
25,Yesterday,PG-13,116,6.9,2019,55
26,The Shape of Water,R,123,7.3,2017,87
27,Godzilla: King of the Monsters,PG-13,132,6.1,2019,48
28,Frozen,PG,102,7.5,2013,74
29,The Green Mile,R,189,8.6,1999,61
30,Star Wars: Episode VIII - The Last Jedi,PG-13,152,7.0,2017,85
31,Avatar,PG-13,162,7.8,2009,83
32,Twilight,PG-13,122,5.2,2008,56
33,The Addams Family,PG,86,5.8,2019,46
34,Scott Pilgrim vs. the World,PG-13,112,7.5,2010,69
35,Ghostbusters: Afterlife,,,,2020,
36,Star Wars: Episode I - The Phantom Menace,PG,136,6.5,1999,51
37,Justice League,PG-13,120,6.4,2017,45
38,The Lord of the Rings: The Return of the King,PG-13,201,8.9,2003,94
39,Star Wars: Episode IV - A New Hope,PG,121,8.6,1977,90
40,Dragonheart Vengeance,PG-13,97,5.1,2020,
41,Thor: Love and Thunder,,,,2021,
42,Hellboy,R,120,5.2,2019,31
43,Timmy Failure: Mistakes Were Made,PG,99,6.3,2020,63
44,Avatar 2,,,,2021,
45,Toy Story,G,81,8.3,1995,95
46,The VelociPastor,,75,5.4,2018,
47,Wendy,PG-13,112,6.4,2020,58
48,Wonder Woman,PG-13,141,7.4,2017,76
49,Harry Potter and the Deathly Hallows: Part 2,PG-13,130,8.1,2011,87
50,Fantastic Beasts: The Crimes of Grindelwald,PG-13,134,6.6,2018,52
51,Moana,PG,107,7.6,2016,81
52,A Shaun the Sheep Movie: Farmageddon,G,86,6.9,2019,79
53,The Princess Bride,PG,98,8.1,1987,77
54,Hook,PG,142,6.8,1991,52
55,Harry Potter and the Goblet of Fire,PG-13,157,7.7,2005,81
56,Ghostbusters,PG,105,7.8,1984,71
57,Spirited Away,PG,125,8.6,2001,96
58,Jumanji,PG,104,7.0,1995,39
59,Beetlejuice,PG,92,7.5,1988,70
60,Maleficent,PG,97,7.0,2014,56
61,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,143,8.0,2003,63
62,The Lord of the Rings: The Two Towers,PG-13,179,8.7,2002,87
63,Beauty and the Beast,PG,129,7.1,2017,65
64,About Time,R,123,7.8,2013,55
65,Peter Rabbit,PG,95,6.5,2018,51
66,Journey to China: The Mystery of Iron Mask,,120,4.6,2019,
67,The Hobbit: An Unexpected Journey,PG-13,169,7.8,2012,58
68,Suspiria,R,152,6.8,2018,64
69,Trolls World Tour,PG,,,2020,
70,Percy Jackson & the Olympians: The Lightning Thief,PG,118,5.9,2010,47
71,Willow,PG,126,7.3,1988,47
72,Abominable,PG,97,7.0,2019,61
73,King Arthur: Legend of the Sword,PG-13,126,6.7,2017,41
74,Thor,PG-13,115,7.0,2011,57
75,Coco,PG,105,8.4,2017,81
76,Harry Potter and the Prisoner of Azkaban,PG,142,7.9,2004,82
77,Mary Poppins Returns,PG,130,6.7,2018,66
78,Doctor Strange,PG-13,115,7.5,2016,72
79,Mandy,Not Rated,121,6.6,2018,81
80,The Mole People,Approved,77,4.9,1956,
81,Tangled,PG,100,7.7,2010,71
82,The Dead Don't Die,R,104,5.5,2019,53
83,Charlie and the Chocolate Factory,PG,115,6.6,2005,72
84,The Lovely Bones,PG-13,135,6.7,2009,42
85,My Neighbor Totoro,G,86,8.2,1988,86
86,Pan's Labyrinth,R,118,8.2,2006,98
87,The Twilight Saga: Breaking Dawn - Part 2,PG-13,115,5.5,2012,52
88,Doctor Strange in the Multiverse of Madness,,,,2021,
89,Stardust,PG-13,127,7.6,2007,66
90,Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,98,6.3,2019,
91,Matilda,PG,102,6.9,1996,72
92,Ratatouille,G,111,8.0,2007,96
93,Immortals,R,110,6.0,2011,46
94,Jungle Cruise,,,,2020,
95,Star Wars: Episode VI - Return of the Jedi,PG,131,8.3,1983,58
96,Mortal Kombat,,,,2021,
97,Toy Story 3,G,103,8.3,2010,92
98,Monster Hunter,PG-13,,,2020,
99,Cinderella,PG,105,6.9,2015,67
100,Shang-Chi and the Legend of the Ten Rings,,,,2021,
101,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,143,6.9,2005,75
102,Van Helsing,PG-13,131,6.1,2004,35
103,Harry Potter and the Chamber of Secrets,PG,161,7.4,2002,63
104,Mary Poppins,G,139,7.8,1964,88
105,Your Name.,PG,106,8.4,2016,79
106,Star Wars: Episode III - Revenge of the Sith,PG-13,140,7.5,2005,68
107,The Wizard of Oz,PG,102,8.0,1939,100
108,Star Wars: Episode V - The Empire Strikes Back,PG,124,8.7,1980,82
109,The Mask,PG-13,101,6.9,1994,56
110,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,129,6.6,2017,39
111,Warcraft,PG-13,123,6.8,2016,32
112,Willy Wonka & the Chocolate Factory,G,100,7.8,1971,67
113,Star Wars: Episode II - Attack of the Clones,PG,142,6.5,2002,54
114,Artemis Fowl,PG,,,2020,
115,Valerian and the City of a Thousand Planets,PG-13,137,6.5,2017,51
116,Batman Forever,PG-13,121,5.4,1995,51
117,Mulan,G,88,7.6,1998,71
118,Groundhog Day,PG,101,8.0,1993,72
119,Splash,PG,111,6.2,1984,71
120,Inside Out,PG,95,8.2,2015,94
121,Kong: Skull Island,PG-13,118,6.6,2017,62
122,Shrek,PG,90,7.8,2001,84
123,The Curious Case of Benjamin Button,PG-13,166,7.8,2008,70
124,Mortal Engines,PG-13,128,6.1,2018,44
125,Weathering with You,PG-13,112,7.6,2019,72
126,Space Jam,PG,88,6.4,1996,59
127,Constantine,R,121,7.0,2005,50
