,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Key Largo,Not Rated,100,7.8,1948,
1,The Asphalt Jungle,Passed,112,7.9,1950,
2,Sunset Blvd.,Not Rated,110,8.4,1950,
3,Gaslight,Not Rated,114,7.8,1944,
4,The Third Man,Not Rated,93,8.1,1949,97
5,The Killing,Not Rated,84,8.0,1956,
6,The Stranger,Not Rated,95,7.4,1946,76
7,Witness for the Prosecution,Not Rated,116,8.4,1957,
8,Double Indemnity,Passed,107,8.3,1944,95
9,The Harder They Fall,Passed,109,7.5,1956,
10,The Maltese Falcon,Not Rated,100,8.0,1941,96
11,Notorious,Not Rated,102,7.9,1946,100
12,The Night of the Hunter,Not Rated,92,8.0,1955,99
13,Ace in the Hole,Not Rated,111,8.2,1951,72
14,Cry Terror!,Not Rated,96,6.5,1958,
15,The Big Sleep,Not Rated,114,7.9,1946,
16,Touch of Evil,PG-13,95,8.0,1958,99
17,Fury,Not Rated,92,7.9,1936,
18,Strangers on a Train,PG,101,8.0,1951,88
19,To Have and Have Not,Not Rated,100,7.9,1944,
20,Experiment Perilous,Approved,91,6.4,1944,
21,Scarface,PG,93,7.8,1932,
22,Spellbound,Approved,111,7.6,1945,
23,Gilda,Not Rated,110,7.7,1946,
24,The Strange Love of Martha Ivers,Unrated,116,7.4,1946,
25,Out of the Past,Not Rated,97,8.0,1947,
26,Laura,Passed,88,8.0,1944,
27,The Lady Vanishes,Not Rated,96,7.8,1938,
28,The Big Heat,Not Rated,89,8.0,1953,
29,White Heat,Not Rated,114,8.2,1949,
30,In a Lonely Place,Not Rated,94,8.0,1950,
31,The Killers,Passed,103,7.8,1946,
32,Affair in Trinidad,Not Rated,98,6.7,1952,
33,The 39 Steps,Not Rated,86,7.7,1935,
34,Killer's Kiss,Not Rated,67,6.7,1955,
35,Sweet Smell of Success,Approved,96,8.1,1957,100
36,Mildred Pierce,Passed,111,8.0,1945,
37,The Strange One,Not Rated,100,7.0,1957,
38,Kiss Me Deadly,Not Rated,106,7.6,1955,
39,Smash-Up: The Story of a Woman,Approved,103,6.4,1947,
40,The Lost Weekend,Not Rated,101,7.9,1945,
41,The Lady from Shanghai,Not Rated,87,7.6,1947,
42,Call Northside 777,Approved,112,7.4,1948,
43,The Woman in the Window,Approved,107,7.7,1944,
44,Crime in the Streets,Passed,91,6.6,1956,
45,The Threat,Passed,66,6.7,1949,
46,Stage Fright,Approved,110,7.1,1950,
47,Stray Dog,Not Rated,122,7.9,1949,
48,The Postman Always Rings Twice,Not Rated,113,7.5,1946,
49,Impact,Approved,111,7.1,1949,
50,Scarlet Street,Approved,102,7.8,1945,
51,Nightmare Alley,Passed,110,7.8,1947,
52,Dark Passage,Passed,106,7.6,1947,
53,Angels with Dirty Faces,Passed,97,7.9,1938,
54,Niagara,Not Rated,92,7.0,1953,
55,The Letter,Not Rated,95,7.6,1940,
56,The Wrong Man,Not Rated,105,7.4,1956,
57,Appointment with Danger,Approved,90,6.6,1950,
58,Julie,Approved,99,6.1,1956,
59,My Favorite Brunette,Approved,87,6.8,1947,
60,I Am a Fugitive from a Chain Gang,Passed,92,8.2,1932,
61,Detour,Passed,68,7.4,1945,
62,This Gun for Hire,Passed,81,7.5,1942,
63,All the King's Men,Approved,110,7.5,1949,
64,The Naked City,Not Rated,96,7.6,1948,
65,Detective Story,Approved,103,7.6,1951,
66,Pickup on South Street,Passed,80,7.7,1953,
67,"Murder, My Sweet",Approved,95,7.6,1944,
68,Odd Man Out,Not Rated,116,7.7,1947,
69,Union Station,Approved,81,6.8,1950,
70,Brute Force,Passed,98,7.6,1947,
71,The Petrified Forest,Not Rated,82,7.6,1936,
72,The Red House,Approved,100,6.9,1947,
73,The Big Steal,Approved,71,7.0,1949,
74,My Name Is Julia Ross,Not Rated,65,7.1,1945,
75,Black Angel,Passed,81,7.0,1946,
76,The Two Mrs. Carrolls,Not Rated,99,6.9,1947,
77,Gun Crazy,Passed,87,7.6,1950,74
78,Champion,Approved,99,7.4,1949,
79,Kiss of Death,Approved,99,7.4,1947,
80,The Sound of Fury,Approved,91,7.3,1950,
81,Criss Cross,Not Rated,84,7.5,1949,
82,Crossfire,Approved,86,7.3,1947,
83,Night and the City,Not Rated,96,7.9,1950,
84,The Big Knife,Not Rated,111,6.8,1955,
85,Born to Kill,Approved,92,7.2,1947,
86,Mystery Street,Passed,93,7.2,1950,
87,Caged,Not Rated,96,7.7,1950,
88,Where Danger Lives,Not Rated,82,6.8,1950,
89,The Man with the Golden Arm,Passed,119,7.4,1955,
90,High Sierra,Passed,100,7.5,1941,
91,The Roaring Twenties,Not Rated,106,8.0,1939,
92,Human Desire,Not Rated,91,7.1,1954,
93,Woman on the Run,Not Rated,77,7.3,1950,
94,Sudden Fear,Approved,110,7.5,1952,
95,Dead Reckoning,Passed,100,7.1,1947,
96,The Unseen,Approved,80,6.0,1945,
97,Angel Face,Approved,91,7.3,1953,
98,Thunder Road,Approved,92,6.7,1958,
99,You Only Live Once,Passed,86,7.4,1937,
100,A Double Life,Approved,104,7.0,1947,
101,Dead End,Approved,93,7.3,1937,
102,No Way Out,Passed,106,7.4,1950,
103,D.O.A.,Approved,83,7.3,1949,
104,I Wake Up Screaming,Passed,82,7.2,1941,
105,"Sorry, Wrong Number",Approved,89,7.4,1948,
106,The Desperate Hours,Approved,112,7.5,1955,
107,T-Men,Approved,92,7.0,1947,
108,Don't Bother to Knock,Passed,76,6.9,1952,
109,Blackmail,Not Rated,85,7.0,1929,
110,The Hitch-Hiker,Approved,71,7.0,1953,
111,I Want to Live!,Approved,120,7.4,1958,
112,Panic in the Streets,Approved,96,7.3,1950,
113,Born to Be Bad,Approved,94,6.7,1950,
114,The Blue Dahlia,Not Rated,96,7.2,1946,
115,The Underworld Story,Passed,91,7.0,1950,
