,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Midway,PG-13,138,6.7,2019,47
1,Dark Waters,PG-13,126,7.6,2019,72
2,Judy,PG-13,118,6.9,2019,66
3,Harriet,PG-13,125,6.3,2019,66
4,The King,R,140,7.3,2019,62
5,The Favourite,R,119,7.6,2018,90
6,Dunkirk,PG-13,106,7.9,2017,94
7,Ip Man 4: The Finale,Unrated,107,7.3,2019,62
8,Schindler's List,R,195,8.9,1993,94
9,Hacksaw Ridge,R,139,8.1,2016,71
10,The Revenant,R,156,8.0,2015,76
11,Panipat,Not Rated,165,5.5,2019,
12,Togo,PG,113,8.1,2019,71
13,The Big Short,R,130,7.8,2015,81
14,Les Misérables,PG-13,158,7.6,2012,63
15,13 Hours,R,144,7.3,2016,48
16,Gone with the Wind,Passed,238,8.1,1939,97
17,The Laundromat,R,95,6.3,2019,57
18,The Lion in Winter,PG,134,7.9,1968,
19,12 Years a Slave,R,134,8.1,2013,96
20,The Report,R,119,7.2,2019,66
21,Hidden Figures,PG,127,7.8,2016,74
22,12 Strong,R,130,6.5,2018,54
23,Troy,R,163,7.2,2004,56
24,Mary Queen of Scots,R,124,6.3,2018,60
25,Lawrence of Arabia,Approved,228,8.3,1962,100
26,Braveheart,R,178,8.3,1995,68
27,Darkest Hour,PG-13,125,7.4,2017,75
28,First Man,PG-13,141,7.3,2018,84
29,The Patriot,R,165,7.2,2000,63
30,Tombstone,R,130,7.8,1993,50
31,Black Hawk Down,R,144,7.7,2001,74
32,Deepwater Horizon,PG-13,107,7.1,2016,68
33,Hotel Mumbai,R,123,7.6,2018,62
34,Caligula,Unrated,156,5.4,1979,
35,Killers of the Flower Moon,,,,2021,
36,Spartacus,PG-13,197,7.9,1960,87
37,The Concubine,Unrated,122,6.1,2012,
38,The King's Speech,R,118,8.0,2010,88
39,In the Heart of the Sea,PG-13,122,6.9,2015,47
40,Miracle,PG,135,7.5,2004,68
41,Lincoln,PG-13,150,7.3,2012,86
42,The Command,PG-13,117,6.6,2018,55
43,Apollo 13,PG,140,7.6,1995,77
44,Pearl Harbor,PG-13,183,6.2,2001,44
45,Resistance,,,,2020,
46,Amadeus,R,160,8.3,1984,88
47,Tolkien,PG-13,112,6.8,2019,48
48,Elizabeth,R,124,7.4,1998,75
49,An Officer and a Spy,,132,7.3,2019,56
50,Silence,R,161,7.2,2016,79
51,The Impossible,PG-13,114,7.6,2012,73
52,The Post,PG-13,116,7.2,2017,83
53,The Death of Stalin,R,107,7.2,2017,88
54,The Great Escape,Not Rated,172,8.2,1963,87
55,The Best of Enemies,PG-13,133,7.1,2019,49
56,Stockholm,R,92,6.1,2018,54
57,The Lost City of Z,PG-13,141,6.6,2016,78
58,Cold Mountain,R,154,7.2,2003,73
59,Glory,R,122,7.8,1989,78
60,Outlaw King,R,121,6.9,2018,59
61,Operation Brothers,TV-MA,129,6.5,2019,
62,Munich,R,164,7.5,2005,74
63,21,PG-13,123,6.8,2008,48
64,Kingdom of Heaven,R,144,7.2,2005,63
65,Empire of the Sun,PG,153,7.8,1987,62
66,Tanhaji: The Unsung Warrior,Not Rated,135,8.4,2020,
67,The Current War,PG-13,102,6.5,2017,55
68,Straight Outta Compton,R,147,7.9,2015,72
69,The Right Stuff,PG,193,7.8,1983,91
70,Public Enemies,R,140,7.0,2009,70
71,Downfall,R,156,8.2,2004,82
72,Valkyrie,PG-13,121,7.1,2008,56
