,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Fantasy Island,PG-13,109,4.7,2020,21
1,Doctor Sleep,R,152,7.4,2019,59
2,Midsommar,R,148,7.2,2019,72
3,The Lighthouse,R,109,7.7,2019,83
4,The Invisible Man,R,124,,2020,
5,The Hunt,R,,,2020,
6,Brahms: The Boy II,PG-13,86,4.3,2020,29
7,Color Out of Space,Unrated,111,6.2,2019,70
8,Gretel & Hansel,PG-13,87,5.4,2020,64
9,Run,,,,2020,
10,Zombieland: Double Tap,R,99,6.8,2019,55
11,The Lodge,R,108,6.6,2019,64
12,It Chapter Two,R,169,6.6,2019,58
13,The Boy,PG-13,97,6.0,2016,42
14,The Host,R,120,7.1,2006,85
15,Ready or Not,R,95,6.8,2019,64
16,The Shining,R,146,8.4,1980,66
17,A Quiet Place,PG-13,90,7.5,2018,82
18,VFW,R,92,6.3,2019,72
19,A Quiet Place Part II,,,,2020,
20,Spiral,,,,2020,
21,Bhoot: Part One - The Haunted Ship,,114,6.6,2020,
22,Come to Daddy,R,96,6.1,2019,63
23,Underwater,PG-13,95,6.1,2020,48
24,Us,R,116,6.9,2019,81
25,It,R,135,7.3,2017,69
26,Ma,R,99,5.6,2019,53
27,Hereditary,R,127,7.3,2018,87
28,After Midnight,TV-MA,83,5.2,2019,54
29,Halloween Kills,,,,2020,
30,Black Christmas,PG-13,92,3.2,2019,49
31,Get Out,R,104,7.7,2017,84
32,The Cabin in the Woods,R,95,7.0,2011,72
33,Polaroid,PG-13,88,5.1,2019,
34,The New Mutants,,,,2020,
35,The Addams Family,PG,86,5.8,2019,46
36,Train to Busan,Not Rated,118,7.5,2016,72
37,Villains,R,90,6.2,2019,63
38,What We Do in the Shadows,R,86,7.7,2014,76
39,Ghostbusters: Afterlife,,,,2020,
40,47 Meters Down: Uncaged,PG-13,90,5.0,2019,43
41,The VVitch: A New-England Folktale,R,92,6.9,2015,83
42,Brightburn,R,90,6.1,2019,44
43,Morbius,Unrated,,,2020,
44,Alien,R,117,8.4,1979,89
45,Hellboy,R,120,5.2,2019,31
46,Countdown,PG-13,90,5.3,2019,31
47,The VelociPastor,,75,5.4,2018,
48,The Turning,PG-13,94,3.7,2020,35
49,The Grudge,R,94,4.1,2020,41
50,Venom 2,,,,2020,
51,The Curse of La Llorona,R,93,5.3,2019,41
52,Annihilation,R,115,6.9,2018,79
53,Scary Stories to Tell in the Dark,PG-13,108,6.2,2019,61
54,Antlers,R,,,2020,
55,Psycho,R,109,8.5,1960,97
56,Daniel Isn't Real,Not Rated,100,6.0,2019,61
57,Zombieland,R,88,7.6,2009,73
58,The Dawn,TV-14,90,5.6,2019,
59,Mother!,R,121,6.6,2017,75
60,Suspiria,R,152,6.8,2018,64
61,In the Tall Grass,TV-MA,101,5.4,2019,46
62,3 from Hell,R,115,5.6,2019,50
63,Scoob!,,,,2020,
64,Split,PG-13,117,7.3,2016,62
65,"Salò, or the 120 Days of Sodom",Not Rated,117,5.9,1975,
66,Climax,R,97,7.1,2018,67
67,Upgrade,R,100,7.5,2018,67
68,Antebellum,,,,2020,
69,Mandy,Not Rated,121,6.6,2018,81
70,The Mole People,Approved,77,4.9,1956,
71,Bird Box,R,124,6.6,2018,51
72,The Dead Don't Die,R,104,5.5,2019,53
73,The Conjuring: The Devil Made Me Do It,,,,2020,
74,A Serbian Film,NC-17,104,5.1,2010,
75,The Prodigy,R,92,5.8,2019,45
76,Doctor Strange in the Multiverse of Madness,,,,2021,
77,Under the Skin,R,108,6.3,2013,78
78,The House That Jack Built,R,152,6.8,2018,42
79,Pet Sematary,R,101,5.7,2019,57
80,From Dusk Till Dawn,R,108,7.2,1996,48
81,The Thing,R,109,8.1,1982,57
82,Escape Room,PG-13,99,6.3,2019,48
83,Alien: Covenant,R,122,6.4,2017,65
84,High Life,R,113,5.9,2018,77
85,Bloodline,R,97,6.0,2018,50
86,28 Days Later...,R,113,7.6,2002,73
87,Overlord,R,110,6.6,2018,60
88,A Nightmare on Elm Street,R,95,5.2,2010,35
89,The Exorcist,R,122,8.0,1973,81
90,The Killing of a Sacred Deer,R,121,7.1,2017,73
91,Camp Cold Brook,Not Rated,86,4.1,2018,
92,The Lost Boys,R,97,7.3,1987,63
93,Dracula,R,128,7.4,1992,57
94,Constantine,R,121,7.0,2005,50
95,Rosemary's Baby,R,137,8.0,1968,96
96,Life,R,104,6.6,2017,54
97,Gerald's Game,TV-MA,103,6.6,2017,77
98,Tusk,R,102,5.3,2014,55
99,Cloverfield,PG-13,85,7.0,2008,64
100,I See You,R,96,6.6,2019,65
101,World War Z,PG-13,116,7.0,2013,63
102,Carrie,R,98,7.4,1976,85
103,The Skin I Live In,R,120,7.6,2011,70
104,Hostel,R,94,5.9,2005,55
105,Orphan,R,123,6.9,2009,42
106,Crawl,R,87,6.2,2019,60
107,The Nothing,,79,3.1,2018,
108,The Bad Batch,R,118,5.3,2016,62
109,The Meg,PG-13,113,5.7,2018,46
110,Saw,R,103,7.6,2004,46
111,Hollow Man,R,112,5.8,2000,24
112,10 Cloverfield Lane,PG-13,103,7.2,2016,76
113,Pride and Prejudice and Zombies,PG-13,108,5.8,2016,45
114,Snatchers,R,96,5.4,2019,
115,The Conjuring,R,112,7.5,2013,68
116,Scream,R,111,7.2,1996,65
117,Rabid,Not Rated,107,5.1,2019,43
118,Last Night in Soho,,,,2020,
119,Blumhouse's Truth or Dare,PG-13,100,5.1,2018,35
120,A Cure for Wellness,R,146,6.4,2016,47
121,The Forest,PG-13,93,4.8,2016,34
122,The Green Inferno,R,100,5.3,2013,38
123,Blade,R,120,7.1,1998,45
124,The Babysitter,TV-MA,85,6.3,2017,
125,Tremors,PG-13,96,7.1,1990,65
126,The Others,PG-13,104,7.6,2001,74
127,I Saw the Devil,Not Rated,144,7.8,2010,67
128,Child's Play,R,90,5.8,2019,48
129,Hansel & Gretel: Witch Hunters,R,88,6.1,2013,23
130,Event Horizon,R,96,6.7,1997,35
131,Haunt,R,92,6.3,2019,69
132,Don't Breathe,R,88,7.1,2016,71
133,Return to Oz,PG,113,6.7,1985,42
134,Annabelle Comes Home,R,106,5.9,2019,53
135,A Nightmare on Elm Street,R,91,7.5,1984,76
136,Shaun of the Dead,R,99,7.9,2004,76
137,The Wailing,TV-MA,156,7.4,2016,81
138,Little Joe,Not Rated,105,5.9,2019,59
139,The Invitation,Not Rated,100,6.6,2015,74
140,Gremlins,PG,106,7.3,1984,70
141,The First Purge,R,98,5.1,2018,54
142,The Neon Demon,R,117,6.2,2016,51
143,Interview with the Vampire: The Vampire Chronicles,R,123,7.6,1994,59
144,Captive State,PG-13,109,6.0,2019,54
145,The Nun,R,96,5.3,2018,46
146,Bone Tomahawk,Not Rated,132,7.1,2015,72
147,Let Me In,R,116,7.1,2010,79
148,The Perfection,TV-MA,90,6.1,2018,60
149,Martyrs,R,99,7.1,2008,
150,Halloween,R,106,6.6,2018,67
151,The Babadook,Not Rated,94,6.8,2014,86
152,I Spit on Your Grave,R,108,6.3,2010,27
153,Doom: Annihilation,R,96,3.6,2019,
154,Eli,R,98,5.8,2019,
155,Pitch Black,R,109,7.1,2000,49
156,Sleepy Hollow,R,105,7.3,1999,65
157,Blade: Trinity,R,113,5.9,2004,38
158,Evil Dead,R,91,6.5,2013,57
159,The Ring,PG-13,115,7.1,2002,57
160,Annabelle: Creation,R,109,6.5,2017,62
161,The Thing,R,103,6.2,2011,49
162,Friday the 13th,R,97,5.5,2009,34
163,The Ritual,TV-MA,94,6.3,2017,57
164,The Autopsy of Jane Doe,R,86,6.8,2016,65
165,It Follows,R,100,6.8,2014,83
166,The Evil Dead,NC-17,85,7.5,1981,71
167,Blade II,R,117,6.7,2002,52
168,Jennifer's Body,R,102,5.2,2009,47
169,The Conjuring 2,R,134,7.3,2016,65
170,Species,R,108,5.8,1995,49
171,Resident Evil,R,100,6.7,2002,33
172,The Silence,PG-13,90,5.2,2019,25
173,The Uninvited,Not Rated,99,7.3,1944,
174,The Descent,R,99,7.2,2005,71
175,The Human Centipede (First Sequence),R,92,4.4,2009,33
176,The Craft,R,101,6.3,1996,55
177,1922,TV-MA,102,6.3,2017,70
178,The Purge,R,85,5.7,2013,41
179,Cannibal Holocaust,Unrated,95,5.9,1980,22
180,The Texas Chain Saw Massacre,R,83,7.5,1974,75
181,Extra Ordinary,R,94,6.3,2019,70
182,The Dark Tower,PG-13,95,5.6,2017,34
