,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Rocketman,R,121,7.3,2019,69
1,Green Book,PG-13,130,8.2,2018,69
2,High Fidelity,R,113,7.5,2000,79
3,Bill & Ted Face the Music,,,,2020,
4,Bohemian Rhapsody,PG-13,134,8.0,2018,49
5,Baby Driver,R,113,7.6,2017,86
6,Yesterday,PG-13,116,6.9,2019,55
7,Whiplash,R,106,8.5,2014,88
8,A Star Is Born,R,136,7.7,2018,88
9,La La Land,PG-13,128,8.0,2016,93
10,Coyote Ugly,PG-13,100,5.7,2000,27
11,I Still Believe,PG,,,2020,
12,Pitch Perfect,PG-13,112,7.2,2012,66
13,The Wedding Singer,PG-13,97,6.8,1998,59
14,The Pianist,R,150,8.5,2002,85
15,Almost Famous,R,122,7.9,2000,90
16,Dirty Dancing,PG-13,100,7.0,1987,65
17,8 Mile,R,110,7.1,2002,77
18,Climax,R,97,7.1,2018,67
19,Coco,PG,105,8.4,2017,81
20,Walk the Line,PG-13,136,7.8,2005,72
21,Burlesque,PG-13,119,6.4,2010,47
22,School of Rock,PG-13,109,7.1,2003,82
23,In the Heights,,,,2020,
24,Bill & Ted's Excellent Adventure,PG,90,6.9,1989,44
25,Footloose,PG,107,6.6,1984,42
26,Amadeus,R,160,8.3,1984,88
27,Soul,,,,2020,
28,The Dirt,TV-MA,107,7.0,2019,39
29,Pitch Perfect 2,PG-13,115,6.4,2015,63
30,Flashdance,R,95,6.2,1983,39
31,Dick Tracy,PG,105,6.1,1990,68
32,Gully Boy,Not Rated,153,8.2,2019,65
33,The Piano,R,121,7.6,1993,89
34,Blinded by the Light,PG-13,118,6.9,2019,71
35,9 Songs,Not Rated,71,4.8,2004,43
36,"O Brother, Where Art Thou?",PG-13,107,7.7,2000,69
37,Straight Outta Compton,R,147,7.9,2015,72
38,We Are Your Friends,R,96,6.2,2015,46
39,Pitch Perfect 3,PG-13,93,5.8,2017,40
40,Some Like It Hot,Not Rated,121,8.2,1959,98
41,Billy Elliot,R,110,7.7,2000,74
42,The Blues Brothers,R,133,7.9,1980,60
43,Green Room,R,95,7.0,2015,79
44,Footloose,PG-13,113,5.9,2011,58
45,Walk Hard: The Dewey Cox Story,R,96,6.8,2007,63
46,Wild Rose,R,101,7.2,2018,80
47,Saturday Night Fever,R,118,6.8,1977,77
48,Her Smell,R,136,6.2,2018,69
49,Inside Llewyn Davis,R,104,7.5,2013,93
50,Purple Rain,R,111,6.6,1984,55
51,Empire Records,PG-13,90,6.7,1995,30
52,Get Him to the Greek,R,109,6.4,2010,65
53,This Is Spinal Tap,R,82,7.9,1984,92
54,Beats,,101,7.2,2019,75
55,"Hail, Caesar!",PG-13,106,6.3,2016,72
56,Fisherman's Friends,PG-13,112,6.9,2019,
57,Wayne's World,PG-13,94,7.0,1992,57
