,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Frozen II,PG,103,7.1,2019,64
1,The Lion King,PG,118,6.9,2019,55
2,Cats,PG,110,2.8,2019,32
3,Aladdin,PG,128,7.0,2019,53
4,Rocketman,R,121,7.3,2019,69
5,Sing,PG,108,7.1,2016,59
6,Yesterday,PG-13,116,6.9,2019,55
7,West Side Story,,,,2020,
8,Frozen,PG,102,7.5,2013,74
9,The Lion King,G,88,8.5,1994,88
10,The Greatest Showman,PG,105,7.6,2017,48
11,La La Land,PG-13,128,8.0,2016,93
12,Les Misérables,PG-13,158,7.6,2012,63
13,Moana,PG,107,7.6,2016,81
14,Beauty and the Beast,PG,129,7.1,2017,65
15,Grease,PG-13,110,7.2,1978,70
16,Mamma Mia! Here We Go Again,PG-13,114,6.7,2018,60
17,Trolls World Tour,PG,,,2020,
18,The Sound of Music,G,172,8.0,1965,63
19,Mary Poppins Returns,PG,130,6.7,2018,66
20,Tangled,PG,100,7.7,2010,71
21,Charlie and the Chocolate Factory,PG,115,6.6,2005,72
22,Lady and the Tramp,PG,103,6.3,2019,48
23,Burlesque,PG-13,119,6.4,2010,47
24,Mary Poppins,G,139,7.8,1964,88
25,The Ballad of Buster Scruggs,R,133,7.3,2018,79
26,The Wizard of Oz,PG,102,8.0,1939,100
27,Willy Wonka & the Chocolate Factory,G,100,7.8,1971,67
28,Mamma Mia!,PG-13,108,6.4,2008,51
29,Mulan,G,88,7.6,1998,71
30,In the Heights,,,,2020,
31,Aladdin,G,90,8.0,1992,86
32,Moulin Rouge!,PG-13,127,7.6,2001,66
33,Hercules,G,93,7.3,1997,74
34,The Little Mermaid,G,83,7.6,1989,88
35,The Lego Movie 2: The Second Part,PG,107,6.6,2019,65
36,Chicago,PG-13,113,7.1,2002,82
37,The Phantom of the Opera,PG-13,143,7.3,2004,40
38,The Princess and the Frog,G,97,7.1,2009,73
39,Hairspray,PG,117,6.6,2007,81
40,Beauty and the Beast,G,84,8.0,1991,95
41,West Side Story,Not Rated,153,7.5,1961,86
42,Labyrinth,PG,101,7.4,1986,50
43,Enchanted,PG,107,7.0,2007,75
44,Trolls,PG,92,6.5,2016,56
45,Gigi,G,115,6.7,1958,82
46,The Rocky Horror Picture Show,R,100,7.4,1975,58
47,The Little Mermaid,,,,(III,
48,Raya and the Last Dragon,,,,2020,
49,Chitty Chitty Bang Bang,G,144,6.9,1968,64
50,Cinderella,,,,2021,
51,Popeye,PG,114,5.3,1980,64
52,Sweeney Todd: The Demon Barber of Fleet Street,R,116,7.3,2007,83
53,The Blues Brothers,R,133,7.9,1980,60
54,Earth Girls Are Easy,PG,100,5.3,1988,66
55,The Jungle Book,G,78,7.6,1967,65
56,Into the Woods,PG,125,5.9,2014,69
57,Horrible Histories: The Movie - Rotten Romans,,92,5.2,2019,
58,An American in Paris,Passed,114,7.2,1951,84
59,Newsies,PG,121,7.0,1992,46
60,Grease 2,PG,115,4.4,1982,52
61,The Hunchback of Notre Dame,G,91,6.9,1996,74
62,Purple Rain,R,111,6.6,1984,55
63,The AristoCats,G,78,7.1,1970,66
64,Robin Hood: Men in Tights,PG-13,104,6.7,1993,44
65,UglyDolls,PG,87,4.9,2019,39
66,Singin' in the Rain,G,103,8.3,1952,99
67,Pocahontas,G,81,6.7,1995,58
68,Snow White and the Seven Dwarfs,G,83,7.6,1937,95
69,Hamilton,,160,,2021,
70,Little Shop of Horrors,PG-13,94,7.0,1986,81
71,The Prince of Egypt,PG,99,7.1,1998,64
72,Rock of Ages,PG-13,123,5.9,2012,47
73,Cinderella,G,74,7.3,1950,85
74,Pinocchio,,,,2021,
75,Anastasia,G,94,7.1,1997,61
76,Annie,PG,127,6.6,1982,39
77,Anchors Aweigh,Passed,140,7.1,1945,
78,The Gay Divorcee,Approved,107,7.5,1934,
79,Kiss Me Kate,Approved,109,7.1,1953,
80,The Wicker Man,R,88,7.5,1973,87
81,Peter Pan,G,77,7.3,1953,76
82,A Goofy Movie,G,78,6.8,1995,
83,The Nightmare Before Christmas,PG,76,8.0,1993,82
84,Sleeping Beauty,G,75,7.2,1959,85
85,Annette,,,,2020,
86,Cabaret,PG,124,7.8,1972,80
87,Pinocchio,G,88,7.4,1940,99
88,Doctor Dolittle,Approved,152,6.2,1967,34
89,Dreamgirls,PG-13,130,6.5,2006,76
90,Annie,PG,118,5.3,2014,33
91,My Fair Lady,G,170,7.8,1964,95
92,Oliver & Company,G,74,6.7,1988,58
93,Show Boat,Approved,108,6.9,1951,
94,Three Smart Girls,Approved,84,6.6,1936,
95,Rio,G,96,6.9,2011,63
96,Playmobil: The Movie,PG,99,4.6,2019,25
97,Alice in Wonderland,G,75,7.4,1951,68
98,Smallfoot,PG,96,6.6,2018,60
99,James and the Giant Peach,PG,79,6.7,1996,78
100,Across the Universe,PG-13,133,7.3,2007,56
101,Cry-Baby,PG-13,85,6.5,1990,63
102,Top Hat,Not Rated,101,7.8,1935,
103,Dancer in the Dark,R,140,8.0,2000,61
104,Phantom of the Paradise,PG,91,7.4,1974,67
105,PK,Not Rated,153,8.1,2014,
106,Fiddler on the Roof,G,181,8.0,1971,67
107,The Muppets,PG,103,7.1,2011,75
108,An Affair to Remember,Not Rated,115,7.5,1957,
109,The Music Man,G,151,7.7,1962,
110,The Producers,PG-13,134,6.3,2005,52
111,Anna and the Apocalypse,R,93,6.0,2017,63
