,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Knives Out,PG-13,131,8.0,2019,82
1,Fantasy Island,PG-13,109,4.7,2020,21
2,Midsommar,R,148,7.2,2019,72
3,The Lighthouse,R,109,7.7,2019,83
4,The Invisible Man,R,124,,2020,
5,The Last Thing He Wanted,R,115,4.3,2020,35
6,Horse Girl,R,103,5.9,2020,61
7,Brahms: The Boy II,PG-13,86,4.3,2020,29
8,Run,,,,2020,
9,Blade Runner 2049,R,164,8.0,2017,81
10,Ad Astra,PG-13,123,6.6,2019,80
11,Motherless Brooklyn,R,144,6.9,2019,60
12,The Boy,PG-13,97,6.0,2016,42
13,Ready or Not,R,95,6.8,2019,64
14,Gone Girl,R,149,8.1,2014,79
15,The Suicide Squad,,,,2021,
16,Memories of Murder,Not Rated,132,8.1,2003,82
17,Spiral,,,,2020,
18,Watchmen,R,162,7.6,2009,56
19,Underwater,PG-13,95,6.1,2020,48
20,Us,R,116,6.9,2019,81
21,Ma,R,99,5.6,2019,53
22,Hereditary,R,127,7.3,2018,87
23,Black Christmas,PG-13,92,3.2,2019,49
24,Get Out,R,104,7.7,2017,84
25,The Good Liar,R,109,6.5,2019,55
26,Polaroid,PG-13,88,5.1,2019,
27,Prisoners,R,153,8.1,2013,74
28,The Green Mile,R,189,8.6,1999,61
29,Oldboy,R,120,8.4,2003,77
30,Se7en,R,127,8.6,1995,65
31,Arrival,PG-13,116,7.9,2016,81
32,Pokémon Detective Pikachu,PG,104,6.6,2019,53
33,A Simple Favor,R,117,6.8,2018,67
34,The VVitch: A New-England Folktale,R,92,6.9,2015,83
35,Brightburn,R,90,6.1,2019,44
36,Shutter Island,R,138,8.1,2010,63
37,Super 8,PG-13,112,7.0,2011,72
38,Basic Instinct,R,127,7.0,1992,41
39,Zodiac,R,157,7.7,2007,78
40,The Prestige,PG-13,130,8.5,2006,66
41,Apocalypse Now,R,147,8.4,1979,94
42,The Hateful Eight,R,168,7.8,2015,68
43,The Body,,101,5.7,2019,
44,The Turning,PG-13,94,3.7,2020,35
45,The Grudge,R,94,4.1,2020,41
46,Harry Potter and the Deathly Hallows: Part 2,PG-13,130,8.1,2011,87
47,Memento,R,113,8.4,2000,80
48,The Curse of La Llorona,R,93,5.3,2019,41
49,Vivarium,R,97,6.4,2019,
50,Harry Potter and the Goblet of Fire,PG-13,157,7.7,2005,81
51,Annihilation,R,115,6.9,2018,79
52,Spirited Away,PG,125,8.6,2001,96
53,Burning,Not Rated,148,7.6,2018,90
54,Zootopia,PG,108,8.0,2016,78
55,Ex Machina,R,108,7.7,2014,78
56,Murder on the Orient Express,PG-13,114,6.5,2017,52
57,Scary Stories to Tell in the Dark,PG-13,108,6.2,2019,61
58,Spenser Confidential,R,111,,2020,
59,Clue,PG,94,7.3,1985,36
60,The Girl with the Dragon Tattoo,R,158,7.8,2011,71
61,Antlers,R,,,2020,
62,Psycho,R,109,8.5,1960,97
63,Mother!,R,121,6.6,2017,75
64,Eyes Wide Shut,R,159,7.4,1999,68
65,The Usual Suspects,R,106,8.5,1995,77
66,Suspiria,R,152,6.8,2018,64
67,In the Tall Grass,TV-MA,101,5.4,2019,46
68,You Were Never Really Here,R,89,6.8,2017,84
69,Scoob!,,,,2020,
70,Under the Silver Lake,R,139,6.5,2018,60
71,Donnie Darko,R,113,8.0,2001,88
72,Sicario,R,121,7.6,2015,82
73,Atonement,R,123,7.8,2007,85
74,Murder Mystery,PG-13,97,6.0,2019,38
75,Eagle Eye,PG-13,118,6.6,2008,43
76,Coco,PG,105,8.4,2017,81
77,Harry Potter and the Prisoner of Azkaban,PG,142,7.9,2004,82
78,Mandy,Not Rated,121,6.6,2018,81
79,The Conjuring: The Devil Made Me Do It,,,,2020,
80,A Serbian Film,NC-17,104,5.1,2010,
81,Bad Times at the El Royale,R,141,7.1,2018,60
82,Freaks,R,105,6.7,2018,63
83,The Invisible Guest,,106,8.1,2016,
84,Serenity,R,106,5.3,2019,37
85,The Rhythm Section,R,109,5.3,2020,45
86,Night Hunter,R,98,5.8,2018,31
87,The Room,,100,6.0,2019,
88,"Where'd You Go, Bernadette",PG-13,109,6.5,2019,51
89,The Commuter,PG-13,105,6.3,2018,56
90,Divergent,PG-13,139,6.7,2014,48
91,In the Shadow of the Moon,TV-MA,115,6.2,2019,48
92,Fractured,TV-MA,99,6.3,2019,36
93,Pet Sematary,R,101,5.7,2019,57
94,Harry Potter and the Chamber of Secrets,PG,161,7.4,2002,63
95,The Ballad of Buster Scruggs,R,133,7.3,2018,79
96,The Thing,R,109,8.1,1982,57
97,Escape Room,PG-13,99,6.3,2019,48
98,High Life,R,113,5.9,2018,77
99,Overlord,R,110,6.6,2018,60
100,A Nightmare on Elm Street,R,95,5.2,2010,35
101,The Killing of a Sacred Deer,R,121,7.1,2017,73
102,Mulholland Dr.,R,147,7.9,2001,83
103,I Am Mother,TV-14,113,6.8,2019,64
104,Wind River,R,107,7.7,2017,73
105,Constantine,R,121,7.0,2005,50
106,Blue Velvet,R,120,7.8,1986,76
107,My Cousin Rachel,PG-13,106,6.0,2017,63
108,Harry Potter and the Order of the Phoenix,PG-13,138,7.5,2007,71
109,Bacurau,,131,7.8,2019,74
110,Now You See Me,PG-13,115,7.3,2013,50
111,I See You,R,96,6.6,2019,65
112,Killers of the Flower Moon,,,,2021,
113,Harry Potter and the Half-Blood Prince,PG,153,7.6,2009,78
114,Harry Potter and the Deathly Hallows: Part 1,PG-13,146,7.7,2010,65
115,Prometheus,R,124,7.0,2012,64
116,Death on the Nile,,,,2020,
117,12 Monkeys,R,129,8.0,1995,74
118,Hot Fuzz,R,121,7.8,2007,81
119,Orphan,R,123,6.9,2009,42
120,The Sixth Sense,PG-13,107,8.1,1999,64
121,The Woman in the Window,R,,,2020,
122,Vertigo,PG,128,8.3,1958,100
123,Game Night,R,100,6.9,2018,66
124,We Have Always Lived in the Castle,Not Rated,90,5.6,2018,63
125,Saw,R,103,7.6,2004,46
126,10 Cloverfield Lane,PG-13,103,7.2,2016,76
127,Scooby-Doo,PG,86,5.0,2002,35
128,Inherent Vice,R,148,6.7,2014,81
129,The Conjuring,R,112,7.5,2013,68
130,Hugo,PG,126,7.5,2011,83
131,Scream,R,111,7.2,1996,65
132,The Snowman,R,119,5.1,2017,23
133,Wonderland,R,104,6.6,2003,43
134,Primal Fear,R,129,7.7,1996,47
135,Enola Holmes,,,,2020,
136,The Poison Rose,R,98,4.6,2019,30
137,Sherlock Holmes,PG-13,128,7.6,2009,57
138,A Cure for Wellness,R,146,6.4,2016,47
139,The Forest,PG-13,93,4.8,2016,34
140,The Highwaymen,R,132,6.9,2019,58
141,The Lives of Others,R,137,8.4,2006,89
142,The Others,PG-13,104,7.6,2001,74
143,Den of Thieves,R,140,7.0,2018,49
144,Cloud Atlas,R,172,7.4,2012,55
145,The Art of Self-Defense,R,104,6.7,2019,65
146,The Nice Guys,R,116,7.4,2016,70
147,Searching,PG-13,102,7.6,2018,71
148,Return to Oz,PG,113,6.7,1985,42
149,Irréversible,Not Rated,97,7.4,2002,51
150,Beast,R,107,6.8,2017,74
151,Annabelle Comes Home,R,106,5.9,2019,53
152,The Devil's Advocate,R,144,7.5,1997,60
153,Kiss the Girls,R,115,6.6,1997,46
154,Chinatown,R,130,8.2,1974,92
155,The Wailing,TV-MA,156,7.4,2016,81
156,Brimstone,R,148,7.1,2016,45
157,Nerve,PG-13,96,6.5,2016,58
158,Moon,R,97,7.9,2009,67
159,Little Joe,Not Rated,105,5.9,2019,59
160,The Invitation,Not Rated,100,6.6,2015,74
161,Wild Things,R,108,6.5,1998,52
162,The Tourist,PG-13,103,6.0,2010,37
163,All the Money in the World,R,132,6.8,2017,72
164,The Girl on the Train,R,112,6.5,2016,48
165,The Firm,R,154,6.8,1993,58
166,The Nun,R,96,5.3,2018,46
167,Rear Window,PG,112,8.4,1954,100
168,Let Me In,R,116,7.1,2010,79
169,The Fugitive,PG-13,130,7.8,1993,87
170,Who Framed Roger Rabbit,PG,104,7.7,1988,83
171,Mystic River,R,138,7.9,2003,84
172,Predestination,R,97,7.5,2014,69
173,Identity,R,90,7.3,2003,64
174,Greta,R,98,6.0,2018,54
175,Enemy,R,91,6.9,2013,61
176,Basic Instinct 2,R,114,4.3,2006,26
177,Sleepy Hollow,R,105,7.3,1999,65
178,Gaslight,Not Rated,114,7.8,1944,
179,L.A. Confidential,R,138,8.2,1997,90
180,The Maze Runner,PG-13,113,6.8,2014,57
181,Oldboy,R,104,5.7,2013,49
182,The Ring,PG-13,115,7.1,2002,57
183,Annabelle: Creation,R,109,6.5,2017,62
184,The Thing,R,103,6.2,2011,49
185,The Da Vinci Code,PG-13,149,6.6,2006,46
186,In the Heat of the Night,Not Rated,110,8.0,1967,75
187,Friday the 13th,R,97,5.5,2009,34
188,The Ritual,TV-MA,94,6.3,2017,57
189,The Autopsy of Jane Doe,R,86,6.8,2016,65
190,Minority Report,PG-13,145,7.6,2002,80
191,Incendies,R,131,8.3,2010,80
192,It Follows,R,100,6.8,2014,83
193,Citizen Kane,PG,119,8.3,1941,100
194,We Need to Talk About Kevin,R,112,7.5,2011,68
195,The Third Man,Not Rated,93,8.1,1949,97
196,The Conjuring 2,R,134,7.3,2016,65
197,Holes,PG,117,7.0,2003,71
198,The Twilight Saga: New Moon,PG-13,130,4.7,2009,44
199,The Uninvited,Not Rated,99,7.3,1944,
200,Now You See Me 2,PG-13,129,6.5,2016,46
201,Original Sin,R,116,6.1,2001,33
202,The Lovebirds,R,86,,2020,
203,National Treasure,PG,131,6.8,2004,39
204,1922,TV-MA,102,6.3,2017,70
205,Winter's Bone,R,100,7.2,2010,90
206,Signs,PG-13,106,6.7,2002,59
207,The Bourne Identity,PG-13,119,7.9,2002,68
208,Angel of Mine,R,98,6.5,2019,47
209,Insidious,PG-13,103,6.8,2010,52
210,Bliss,,80,5.8,2019,53
211,Allegiant,PG-13,120,5.7,2016,33
212,It Comes At Night,R,91,6.2,2017,78
213,Midnight Special,PG-13,112,6.6,2016,76
214,Velvet Buzzsaw,R,113,5.7,2019,61
215,Inferno,PG-13,121,6.2,2016,42
216,Nightmare Alley,,,,(I,
217,The Game,R,129,7.8,1997,61
218,The Village,PG-13,108,6.5,2004,44
219,Side Effects,R,106,7.1,2013,75
220,Friday the 13th,R,95,6.5,1980,22
221,Wounds,R,95,4.1,2019,51
222,Apostle,TV-MA,130,6.3,2018,62
223,Happy Death Day,PG-13,96,6.5,2017,58
224,Chloe,R,96,6.3,2009,48
225,The Adventures of Tintin,PG,107,7.3,2011,68
226,Tully,R,95,7.0,2018,75
227,The Witches,,,,2020,
228,Scream 4,R,111,6.1,2011,52
229,The Souvenir,R,120,6.5,2019,91
230,Jigsaw,R,92,5.8,2017,39
231,Unbreakable,PG-13,106,7.3,2000,62
232,Manhunter,R,120,7.2,1986,75
233,What Happened to Monday,TV-MA,123,6.9,2017,47
234,Miss Fisher & the Crypt of Tears,,101,9.0,2020,
235,The Body,,108,7.6,2012,
236,Deliver Us from Evil,R,118,6.2,2014,40
237,Brick,R,110,7.3,2005,72
238,Gosford Park,R,131,7.2,2001,90
239,The Captive,R,112,5.9,2014,36
240,The Secret in Their Eyes,R,129,8.2,2009,80
241,American Woman,R,111,6.8,2018,68
242,Suburbicon,R,105,5.7,2017,42
243,Saint Maud,R,84,6.9,2019,76
244,The Mortal Instruments: City of Bones,PG-13,130,5.9,2013,33
245,True Story,R,99,6.3,2015,50
246,Teorema,Not Rated,98,7.2,1968,
247,Inside Man,R,129,7.6,2006,76
248,Source Code,PG-13,93,7.5,2011,74
249,Earthquake Bird,R,107,5.9,2019,51
250,The Abyss,PG-13,171,7.6,1989,62
251,Dark City,R,100,7.6,1998,66
252,The Blair Witch Project,R,81,6.5,1999,81
253,Oculus,R,104,6.5,2013,61
254,Mirage,TV-MA,128,7.4,2018,
255,The Girl with the Dragon Tattoo,R,152,7.8,2009,76
256,Death Note,TV-MA,101,4.5,2017,43
257,What Lies Beneath,PG-13,130,6.6,2000,51
258,Sinister,R,110,6.8,2012,53
259,The Cloverfield Paradox,PG-13,102,5.5,2018,37
260,The Best Offer,R,131,7.8,2013,49
261,Angels & Demons,PG-13,138,6.7,2009,48
262,The Poughkeepsie Tapes,R,81,6.1,2007,
263,Gone Baby Gone,R,114,7.6,2007,72
264,Tomorrowland,PG,130,6.4,2015,60
265,Crimson Peak,R,119,6.5,2015,66
266,Insomnia,R,118,7.2,2002,78
267,Sherlock Holmes: A Game of Shadows,PG-13,129,7.5,2011,48
268,Red Eye,PG-13,85,6.4,2005,71
269,The Bone Collector,R,118,6.7,1999,45
270,Jacob's Ladder,R,89,3.4,2019,31
271,Contact,PG,150,7.4,1997,62
272,The Void,Not Rated,90,5.8,2016,62
273,The Intruder,PG-13,102,5.5,2019,39
274,How It Ends,TV-MA,113,5.0,2018,36
275,Happy Death Day 2U,PG-13,100,6.2,2019,57
276,A Dark Place,,89,6.2,2018,41
277,Lost Highway,R,134,7.6,1997,52
278,Lights Out,PG-13,81,6.3,2016,58
279,The Falling,Not Rated,102,5.4,2014,71
280,Coherence,Not Rated,89,7.2,2013,65
281,North by Northwest,Not Rated,136,8.3,1959,98
282,Destroyer,R,121,6.2,2018,62
283,Holmes & Watson,PG-13,90,3.8,2018,24
284,Valentine,R,96,4.8,2001,18
285,The Hole in the Ground,R,90,5.7,2019,63
286,Vanilla Sky,R,136,6.9,2001,45
287,Tinker Tailor Soldier Spy,R,122,7.1,2011,85
288,"Hail, Caesar!",PG-13,106,6.3,2016,72
289,The Imaginarium of Doctor Parnassus,PG-13,123,6.8,2009,65
290,Knowing,PG-13,121,6.2,2009,41
291,Marrowbone,R,110,6.6,2017,63
292,The Strangers,R,86,6.2,2008,47
293,Men in Black II,PG-13,88,6.2,2002,49
294,American Gigolo,R,117,6.2,1980,57
295,London Fields,R,118,4.3,2018,16
296,The Bourne Ultimatum,PG-13,115,8.0,2007,85
297,The 'Burbs,PG,102,6.9,1989,45
298,Unknown,PG-13,113,6.8,2011,56
299,Fire in the Sky,PG-13,109,6.6,1993,42
300,Sherlock Holmes 3,,,,2021,
301,Leviathan,R,98,5.8,1989,51
302,Saving Zoë,R,95,5.1,2019,
303,Gone,PG-13,94,5.9,2012,36
304,First Reformed,R,113,7.1,2017,85
305,Changeling,R,141,7.7,2008,63
306,Before I Go to Sleep,R,92,6.3,2014,41
307,Hollywould,,90,5.2,2019,
308,Salt,PG-13,100,6.4,2010,65
309,The Vanishing of Sidney Hall,R,119,6.9,2017,18
310,The Unborn,PG-13,88,4.8,2009,30
311,I Know What You Did Last Summer,R,101,5.7,1997,52
312,Long Day's Journey Into Night,Not Rated,138,7.2,2018,88
313,The Name of the Rose,R,130,7.7,1986,
314,Criminal,R,113,6.3,2016,36
315,Nancy Drew and the Hidden Staircase,PG,89,5.7,2019,55
316,Paranormal Activity,R,86,6.3,2007,68
317,Goodnight Mommy,R,99,6.7,2014,81
318,The Do-Over,TV-MA,108,5.7,2016,22
319,The Lucky One,PG-13,101,6.5,2012,39
320,The Dead Pool,R,91,6.3,1988,46
321,Murder on the Orient Express,PG,128,7.3,1974,63
322,The Witches,PG,91,6.8,1990,
323,Cube,R,90,7.2,1997,61
324,Star Trek: The Motion Picture,G,132,6.4,1979,48
325,The Bourne Supremacy,PG-13,108,7.7,2004,73
326,Hold the Dark,TV-MA,125,5.6,2018,63
