,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,To All the Boys: P.S. I Still Love You,TV-14,101,6.1,2020,54
1,Little Women,PG,135,8.0,2019,91
2,Marriage Story,R,137,8.0,2019,93
3,The French Dispatch,R,108,,2020,
4,After We Collided,,,,2020,
5,To All the Boys I've Loved Before,TV-14,99,7.2,2018,64
6,Queen & Slim,R,132,7.0,2019,74
7,Portrait of a Lady on Fire,R,122,8.2,2019,95
8,The Photograph,PG-13,106,6.2,2020,63
9,Judy,PG-13,118,6.9,2019,66
10,The Green Knight,,,,2020,
11,Love Aaj Kal,,142,5.3,2020,
12,After,PG-13,105,5.4,2019,30
13,Isi & Ossi,,113,6.5,2020,
14,Aladdin,PG,128,7.0,2019,53
15,Call Me by Your Name,R,132,7.9,2017,93
16,Shubh Mangal Zyada Saavdhan,,117,6.9,2020,
17,Malang,,135,6.7,2020,
18,High Fidelity,R,113,7.5,2000,79
19,Titanic,PG-13,194,7.8,1997,75
20,The King,R,140,7.3,2019,62
21,Mr. Right,R,95,6.3,2015,52
22,The Handmaiden,Not Rated,145,8.1,2016,84
23,Forrest Gump,PG-13,142,8.8,1994,82
24,Yesterday,PG-13,116,6.9,2019,55
25,Love,Not Rated,135,6.1,2015,51
26,The Shape of Water,R,123,7.3,2017,87
27,Her,R,126,8.0,2013,90
28,West Side Story,,,,2020,
29,Last Christmas,PG-13,103,6.5,2019,50
30,Casablanca,PG,102,8.5,1942,100
31,Downton Abbey,PG,122,7.4,2019,64
32,Eternal Sunshine of the Spotless Mind,R,108,8.3,2004,89
33,Little Women,PG,115,7.3,1994,87
34,The Notebook,PG-13,123,7.8,2004,53
35,Twilight,PG-13,122,5.2,2008,56
36,Risky Business,R,99,6.8,1983,75
37,Can You Keep a Secret?,,94,5.3,2019,35
38,Fifty Shades of Grey,R,125,4.1,2015,46
39,Long Shot,R,125,6.9,2019,67
40,The Great Gatsby,PG-13,143,7.2,2013,55
41,Scott Pilgrim vs. the World,PG-13,112,7.5,2010,69
42,Waves,R,135,7.7,2019,80
43,10 Things I Hate About You,PG-13,97,7.3,1999,70
44,Love Actually,R,135,7.6,2003,55
45,A Hidden Life,PG-13,174,7.6,2019,78
46,True Romance,R,119,7.9,1993,59
47,A Star Is Born,R,136,7.7,2018,88
48,"Crazy, Stupid, Love.",PG-13,118,7.4,2011,68
49,Good Will Hunting,R,126,8.3,1997,70
50,Coming to America,R,116,7.0,1988,47
51,Crazy Rich Asians,PG-13,120,6.9,2018,74
52,La La Land,PG-13,128,8.0,2016,93
53,A Rainy Day in New York,PG-13,92,6.6,2019,48
54,Les Misérables,PG-13,158,7.6,2012,63
55,Coyote Ugly,PG-13,100,5.7,2000,27
56,Gone with the Wind,Passed,238,8.1,1939,97
57,I Still Believe,PG,,,2020,
58,Pitch Perfect,PG-13,112,7.2,2012,66
59,The Wedding Singer,PG-13,97,6.8,1998,59
60,Pride & Prejudice,PG,129,7.8,2005,82
61,The Princess Bride,PG,98,8.1,1987,77
62,Clueless,PG-13,97,6.8,1995,68
63,Bridesmaids,R,125,6.8,2011,75
64,Romeo + Juliet,PG-13,120,6.7,1996,60
65,Maleficent,PG,97,7.0,2014,56
66,Life Is Beautiful,PG-13,116,8.6,1997,59
67,The Kissing Booth,TV-14,105,6.1,2018,
68,The Lobster,R,119,7.2,2015,82
69,Beauty and the Beast,PG,129,7.1,2017,65
70,Grease,PG-13,110,7.2,1978,70
71,Dirty Dancing,PG-13,100,7.0,1987,65
72,About Time,R,123,7.8,2013,55
73,Mamma Mia! Here We Go Again,PG-13,114,6.7,2018,60
74,World Famous Lover,PG-13,154,4.7,2020,
75,Moonrise Kingdom,PG-13,94,7.8,2012,84
76,Me Before You,PG-13,106,7.4,2016,51
77,The Sound of Music,G,172,8.0,1965,63
78,Willow,PG,126,7.3,1988,47
79,The Aeronauts,PG-13,100,6.6,2019,60
80,Atonement,R,123,7.8,2007,85
81,Five Feet Apart,PG-13,116,7.2,2019,53
82,Murder Mystery,PG-13,97,6.0,2019,38
83,Blue Is the Warmest Colour,NC-17,180,7.7,2013,88
84,Tangled,PG,100,7.7,2010,71
85,Walk the Line,PG-13,136,7.8,2005,72
86,Lady and the Tramp,PG,103,6.3,2019,48
87,Lost in Translation,R,102,7.7,2003,89
88,Wedding Crashers,R,119,6.9,2005,64
89,Slumdog Millionaire,R,120,8.0,2008,86
90,The Twilight Saga: Breaking Dawn - Part 2,PG-13,115,5.5,2012,52
91,Stardust,PG-13,127,7.6,2007,66
92,Burlesque,PG-13,119,6.4,2010,47
93,Fifty Shades Freed,R,105,4.5,2018,31
