,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Sonic the Hedgehog,PG,99,6.9,2020,47
1,The Invisible Man,R,124,,2020,
2,Terminator: Dark Fate,R,128,6.3,2019,54
3,Snowpiercer,R,126,7.1,2013,84
4,Star Wars: The Rise Of Skywalker,PG-13,142,6.8,2019,53
5,Avengers: Endgame,PG-13,181,8.5,2019,78
6,Color Out of Space,Unrated,111,6.2,2019,70
7,Alita: Battle Angel,PG-13,122,7.3,2019,53
8,Suicide Squad,PG-13,123,6.0,2016,40
9,Black Widow,Unrated,,,2020,
10,Blade Runner 2049,R,164,8.0,2017,81
11,Bloodshot,PG-13,109,5.8,2020,
12,Ad Astra,PG-13,123,6.6,2019,80
13,Okja,TV-MA,120,7.3,2017,75
14,Gemini Man,PG-13,117,5.7,2019,38
15,Eternals,,,,2020,
16,The Matrix 4,,,,2021,
17,Inception,PG-13,148,8.8,2010,74
18,Interstellar,PG-13,169,8.6,2014,74
19,Blade Runner,R,117,8.1,1982,84
20,The Host,R,120,7.1,2006,85
21,The Matrix,R,136,8.7,1999,73
22,Godzilla vs. Kong,,,,2020,
23,Bill & Ted Face the Music,,,,2020,
24,A Quiet Place,PG-13,90,7.5,2018,82
25,Dune,,,,2020,
26,The Suicide Squad,,,,2021,
27,Spider-Man: Far from Home,PG-13,129,7.5,2019,69
28,The Martian,PG-13,144,8.0,2015,80
29,Contagion,PG-13,106,6.6,2011,70
30,Watchmen,R,162,7.6,2009,56
31,Aquaman,PG-13,143,7.0,2018,55
32,Underwater,PG-13,95,6.1,2020,48
33,Thor: Ragnarok,PG-13,130,7.9,2017,74
34,Back to the Future,PG,116,8.5,1985,87
35,After Midnight,TV-MA,83,5.2,2019,54
36,Ready Player One,PG-13,140,7.5,2018,64
37,Avengers: Infinity War,PG-13,149,8.5,2018,68
38,Godzilla: King of the Monsters,PG-13,132,6.1,2019,48
39,Her,R,126,8.0,2013,90
40,Eternal Sunshine of the Spotless Mind,R,108,8.3,2004,89
41,The New Mutants,,,,2020,
42,Guardians of the Galaxy,PG-13,121,8.0,2014,76
43,Spider-Man: Into the Spider-Verse,PG,117,8.4,2018,87
44,Star Wars: Episode VIII - The Last Jedi,PG-13,152,7.0,2017,85
45,Captain Marvel,PG-13,123,6.9,2019,64
46,Avatar,PG-13,162,7.8,2009,83
47,Black Panther,PG-13,134,7.3,2018,88
48,The Hunger Games,PG-13,142,7.2,2012,68
49,Code 8,,98,6.1,2019,
50,Jurassic Park,PG-13,127,8.1,1993,68
51,Arrival,PG-13,116,7.9,2016,81
52,Pokémon Detective Pikachu,PG,104,6.6,2019,53
53,Mad Max: Fury Road,R,120,8.1,2015,90
54,Ghostbusters: Afterlife,,,,2020,
55,Terminator 2: Judgment Day,R,137,8.5,1991,75
56,Star Wars: Episode I - The Phantom Menace,PG,136,6.5,1999,51
57,Brightburn,R,90,6.1,2019,44
58,Justice League,PG-13,120,6.4,2017,45
59,X-Men: Dark Phoenix,PG-13,113,5.8,2019,43
60,Star Wars: Episode IV - A New Hope,PG,121,8.6,1977,90
61,Morbius,Unrated,,,2020,
62,Super 8,PG-13,112,7.0,2011,72
63,The Prestige,PG-13,130,8.5,2006,66
64,Deadpool 2,R,119,7.7,2018,66
65,Rogue One: A Star Wars Story,PG-13,133,7.8,2016,65
66,Alien,R,117,8.4,1979,89
67,Hellboy,R,120,5.2,2019,31
68,Men in Black: International,PG-13,114,5.6,2019,38
69,Avatar 2,,,,2021,
70,The VelociPastor,,75,5.4,2018,
71,Glass,PG-13,129,6.7,2019,43
72,Venom,PG-13,112,6.7,2018,35
73,Wonder Woman,PG-13,141,7.4,2017,76
74,The Terminator,R,107,8.0,1984,84
75,Avengers: Age of Ultron,PG-13,141,7.3,2015,66
76,A Shaun the Sheep Movie: Farmageddon,G,86,6.9,2019,79
77,Venom 2,,,,2020,
78,Star Wars: Episode VII - The Force Awakens,PG-13,138,7.9,2015,81
79,Transformers: The Last Knight,PG-13,154,5.2,2017,27
80,X-Men: Apocalypse,PG-13,144,6.9,2016,52
81,Deadpool,R,108,8.0,2016,65
82,Vivarium,R,97,6.4,2019,
83,Dune,PG-13,137,6.5,1984,40
84,Jurassic World: Fallen Kingdom,PG-13,128,6.2,2018,51
85,Captain America: The First Avenger,PG-13,124,6.9,2011,66
86,Annihilation,R,115,6.9,2018,79
87,Jurassic World 3,,,,2021,
88,A Clockwork Orange,R,136,8.3,1971,80
89,The Avengers,PG-13,143,8.0,2012,69
90,Spies in Disguise,PG,102,6.8,2019,54
91,Ex Machina,R,108,7.7,2014,78
92,Batman v Superman: Dawn of Justice,PG-13,151,6.5,2016,44
93,Guardians of the Galaxy Vol. 2,PG-13,136,7.6,2017,67
94,Free Guy,,,,2020,
95,Zombieland,R,88,7.6,2009,73
96,The Lobster,R,119,7.2,2015,82
97,About Time,R,123,7.8,2013,55
98,Solo: A Star Wars Story,PG-13,135,6.9,2018,62
99,Chaos Walking,,,,2021,
100,Iron Man Three,PG-13,130,7.2,2013,62
101,Logan,R,137,8.1,2017,77
102,Bumblebee,PG-13,114,6.8,2018,66
103,Spider-Man: Homecoming,PG-13,133,7.4,2017,73
104,Donnie Darko,R,113,8.0,2001,88
105,The Tomorrow War,,,,2020,
106,The Hunger Games: Catching Fire,PG-13,146,7.5,2013,76
107,"Honey, I Shrunk the Kids",PG,93,6.3,1989,63
108,Upgrade,R,100,7.5,2018,67
109,The Matrix Reloaded,R,138,7.2,2003,62
110,Star Trek,PG-13,127,7.9,2009,82
111,Aliens,R,137,8.3,1986,84
112,Doctor Strange,PG-13,115,7.5,2016,72
113,The Mole People,Approved,77,4.9,1956,
114,Bird Box,R,124,6.6,2018,51
115,Iron Man,PG-13,126,7.9,2008,79
116,Freaks,R,105,6.7,2018,63
117,Man of Steel,PG-13,143,7.1,2013,55
118,Looper,R,113,7.4,2012,84
119,Star Trek Beyond,PG-13,122,7.1,2016,68
120,2001: A Space Odyssey,G,149,8.3,1968,84
121,Spider-Man,PG-13,121,7.3,2002,73
122,The Truman Show,PG,103,8.1,1998,90
123,The Room,,100,6.0,2019,
124,Star Trek Into Darkness,PG-13,132,7.7,2013,72
125,Star Wars: Episode VI - Return of the Jedi,PG,131,8.3,1983,58
126,Mortal Kombat,,,,2021,
127,Passengers,PG-13,116,7.0,2016,41
128,Under the Skin,R,108,6.3,2013,78
129,Divergent,PG-13,139,6.7,2014,48
130,My Hero Academia: Heroes Rising,PG-13,104,7.9,2019,
131,In the Shadow of the Moon,TV-MA,115,6.2,2019,48
132,Edge of Tomorrow,PG-13,113,7.9,2014,71
133,The Island,PG-13,136,6.8,2005,50
134,The Thing,R,109,8.1,1982,57
135,Alien: Covenant,R,122,6.4,2017,65
136,Jurassic World,PG-13,124,7.0,2015,59
137,Star Wars: Episode III - Revenge of the Sith,PG-13,140,7.5,2005,68
138,High Life,R,113,5.9,2018,77
139,Teenage Mutant Ninja Turtles,PG,93,6.8,1990,51
140,Star Wars: Episode V - The Empire Strikes Back,PG,124,8.7,1980,82
141,Star Wars: Episode II - Attack of the Clones,PG,142,6.5,2002,54
142,Artemis Fowl,PG,,,2020,
