,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Parasite,R,132,8.6,2019,96
1,Knives Out,PG-13,131,8.0,2019,82
2,Uncut Gems,R,135,7.6,2019,90
3,Joker,R,122,8.6,2019,59
4,No Time to Die,PG-13,,,2020,
5,Doctor Sleep,R,152,7.4,2019,59
6,Bad Boys For Life,R,124,7.2,2020,59
7,Midsommar,R,148,7.2,2019,72
8,The Invisible Man,R,124,,2020,
9,The Last Thing He Wanted,R,115,4.3,2020,35
10,Horse Girl,R,103,5.9,2020,61
11,Dark Waters,PG-13,126,7.6,2019,72
12,The Hunt,R,,,2020,
13,Brahms: The Boy II,PG-13,86,4.3,2020,29
14,Hustlers,R,110,6.4,2019,79
15,21 Bridges,R,99,6.6,2019,51
16,The Coldest Game,,102,6.3,2019,
17,Alita: Battle Angel,PG-13,122,7.3,2019,53
18,6 Underground,R,128,6.1,2019,41
19,F9,,135,,2020,
20,Gretel & Hansel,PG-13,87,5.4,2020,64
21,Run,,,,2020,
22,Blade Runner 2049,R,164,8.0,2017,81
23,The Dark Knight,PG-13,152,9.0,2008,84
24,Tenet,,,,2020,
25,Ad Astra,PG-13,123,6.6,2019,80
26,Good Time,R,101,7.3,2017,80
27,The Lodge,R,108,6.6,2019,64
28,Gemini Man,PG-13,117,5.7,2019,38
29,Inception,PG-13,148,8.8,2010,74
30,The Boy,PG-13,97,6.0,2016,42
31,Blade Runner,R,117,8.1,1982,84
32,Malang,,135,6.7,2020,
33,Ready or Not,R,95,6.8,2019,64
34,John Wick: Chapter 3 - Parabellum,R,131,7.5,2019,73
35,Gone Girl,R,149,8.1,2014,79
36,Godzilla vs. Kong,,,,2020,
37,The Silence of the Lambs,R,118,8.6,1991,85
38,The Handmaiden,Not Rated,145,8.1,2016,84
39,Memories of Murder,Not Rated,132,8.1,2003,82
40,A Quiet Place Part II,,,,2020,
41,Spiral,,,,2020,
42,Contagion,PG-13,106,6.6,2011,70
43,Come to Daddy,R,96,6.1,2019,63
44,The Foreigner,R,113,7.0,2017,55
45,Underwater,PG-13,95,6.1,2020,48
46,American Assassin,R,112,6.2,2017,45
47,Spectre,PG-13,148,6.8,2015,60
48,Us,R,116,6.9,2019,81
49,Casino Royale,PG-13,144,8.0,2006,80
50,Ma,R,99,5.6,2019,53
51,Baby Driver,R,113,7.6,2017,86
52,Hereditary,R,127,7.3,2018,87
53,The Shape of Water,R,123,7.3,2017,87
54,Halloween Kills,,,,2020,
55,Black Christmas,PG-13,92,3.2,2019,49
56,Dunkirk,PG-13,106,7.9,2017,94
57,Get Out,R,104,7.7,2017,84
58,The Good Liar,R,109,6.5,2019,55
59,Polaroid,PG-13,88,5.1,2019,
60,Prisoners,R,153,8.1,2013,74
61,Skyfall,PG-13,143,7.7,2012,81
62,A Fall from Grace,TV-MA,115,5.8,2020,34
63,Anna,R,119,6.6,2019,40
64,Rambo: Last Blood,R,89,6.2,2019,26
65,Bad Boys,R,119,6.9,1995,41
66,The Departed,R,151,8.5,2006,85
67,Oldboy,R,120,8.4,2003,77
68,Mission: Impossible - Fallout,PG-13,147,7.8,2018,86
