,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Jojo Rabbit,PG-13,108,8.0,2019,58
1,1917,R,119,8.5,2019,78
2,Midway,PG-13,138,6.7,2019,47
3,Inglourious Basterds,R,153,8.3,2009,69
4,The King,R,140,7.3,2019,62
5,Dunkirk,PG-13,106,7.9,2017,94
6,Saving Private Ryan,R,169,8.6,1998,91
7,Casablanca,PG,102,8.5,1942,100
8,Hacksaw Ridge,R,139,8.1,2016,71
9,The Last Full Measure,R,116,6.5,2019,52
10,Panipat,Not Rated,165,5.5,2019,
11,A Hidden Life,PG-13,174,7.6,2019,78
12,Apocalypse Now,R,147,8.4,1979,94
13,Fury,R,134,7.6,2014,64
14,Wonder Woman,PG-13,141,7.4,2017,76
15,Les Misérables,PG-13,158,7.6,2012,63
16,13 Hours,R,144,7.3,2016,48
17,Gone with the Wind,Passed,238,8.1,1939,97
18,Life Is Beautiful,PG-13,116,8.6,1997,59
19,The Pianist,R,150,8.5,2002,85
20,Full Metal Jacket,R,116,8.3,1987,76
21,12 Strong,R,130,6.5,2018,54
22,Platoon,R,120,8.1,1986,92
23,Tropic Thunder,R,107,7.0,2008,71
24,"Salò, or the 120 Days of Sodom",Not Rated,117,5.9,1975,
25,Lawrence of Arabia,Approved,228,8.3,1962,100
26,Atonement,R,123,7.8,2007,85
27,Braveheart,R,178,8.3,1995,68
28,Darkest Hour,PG-13,125,7.4,2017,75
29,Jarhead,R,125,7.0,2005,58
30,Pan's Labyrinth,R,118,8.2,2006,98
31,The Patriot,R,165,7.2,2000,63
32,Black Hawk Down,R,144,7.7,2001,74
33,The Boy in the Striped Pajamas,PG-13,94,7.8,2008,55
34,Overlord,R,110,6.6,2018,60
35,Mulan,G,88,7.6,1998,71
36,The Deer Hunter,R,183,8.1,1978,86
37,American Sniper,R,133,7.3,2014,72
38,Come and See,Not Rated,142,8.3,1985,
39,Unbroken,PG-13,137,7.2,2014,59
40,Spartacus,PG-13,197,7.9,1960,87
41,Official Secrets,R,112,7.3,2019,63
42,The Imitation Game,PG-13,114,8.0,2014,73
43,The Aftermath,R,108,6.3,2019,43
44,Lincoln,PG-13,150,7.3,2012,86
45,Lone Survivor,R,121,7.5,2013,60
46,Pearl Harbor,PG-13,183,6.2,2001,44
47,Resistance,,,,2020,
48,Tolkien,PG-13,112,6.8,2019,48
49,T-34,TV-14,139,6.5,2018,
50,Malena,R,108,7.5,2000,54
51,The Great Escape,Not Rated,172,8.2,1963,87
52,The Hurt Locker,R,131,7.6,2008,95
53,The Last of the Mohicans,R,112,7.7,1992,76
54,The Windermere Children,,88,7.1,2020,
55,The Last Samurai,R,154,7.7,2003,55
56,Cold Mountain,R,154,7.2,2003,73
57,Legends of the Fall,R,133,7.6,1994,45
58,Glory,R,122,7.8,1989,78
59,The English Patient,R,162,7.4,1996,87
60,Outlaw King,R,121,6.9,2018,59
61,War Dogs,R,114,7.1,2016,57
62,Kingdom of Heaven,R,144,7.2,2005,63
63,Grave of the Fireflies,Not Rated,89,8.5,1988,
64,Incendies,R,131,8.3,2010,80
65,Empire of the Sun,PG,153,7.8,1987,62
66,Danger Close,R,118,6.9,2019,
67,Dear John,PG-13,108,6.3,2010,43
68,Downfall,R,156,8.2,2004,82
69,Valkyrie,PG-13,121,7.1,2008,56
70,Beanpole,,130,7.2,2019,85
71,Green Street Hooligans,R,109,7.5,2005,55
72,We Were Soldiers,R,138,7.2,2002,65
73,Underworld: Blood Wars,R,91,5.8,2016,23
74,The Thin Red Line,R,170,7.6,1998,78
75,Midway,PG,132,6.8,1976,48
76,Elizabeth: The Golden Age,PG-13,114,6.8,2007,45
77,Shadow,Not Rated,116,7.0,2018,81
78,King Arthur,PG-13,126,6.3,2004,46
79,Waiting for Anya,,109,5.2,2020,39
80,MASH,R,116,7.5,1970,80
