,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
0,Django Unchained,R,165,8.4,2012,81
1,The Revenant,R,156,8.0,2015,76
2,True History of the Kelly Gang,R,124,5.9,2019,83
3,The Magnificent Seven,PG-13,132,6.9,2016,54
4,The Hateful Eight,R,168,7.8,2015,68
5,Hostiles,R,134,7.2,2017,65
6,Dances with Wolves,PG-13,181,8.0,1990,72
7,Giant,G,201,7.7,1956,84
8,Unforgiven,R,130,8.2,1992,85
9,"The Good, the Bad and the Ugly",R,178,8.8,1966,90
10,The Ballad of Lefty Brown,R,111,6.3,2017,64
11,Tombstone,R,130,7.8,1993,50
12,The Ballad of Buster Scruggs,R,133,7.3,2018,79
13,Hell or High Water,R,102,7.6,2016,88
14,Once Upon a Time in the West,PG-13,165,8.5,1968,80
15,Bacurau,,131,7.8,2019,74
16,True Grit,PG-13,110,7.6,2010,80
17,The Outlaw Josey Wales,PG,135,7.9,1976,69
18,The Sisters Brothers,R,122,7.0,2018,78
19,Back to the Future Part III,PG,118,7.4,1990,55
20,Brimstone,R,148,7.1,2016,45
21,Bone Tomahawk,Not Rated,132,7.1,2015,72
22,Legends of the Fall,R,133,7.6,1994,45
23,The Mask of Zorro,PG-13,136,6.7,1998,63
24,A Million Ways to Die in the West,R,116,6.1,2014,44
25,The Dark Tower,PG-13,95,5.6,2017,34
26,Wild Wild West,PG-13,106,4.9,1999,38
27,Rango,PG,107,7.2,2011,75
28,Westworld,PG,88,7.0,1973,77
29,The Wind,R,86,5.5,2018,66
30,The Kid,R,100,5.9,2019,51
31,The Magnificent Seven,Approved,128,7.7,1960,74
32,Blazing Saddles,R,93,7.7,1974,73
33,The Assassination of Jesse James by the Coward Robert Ford,R,160,7.5,2007,68
34,The Ridiculous 6,TV-14,119,4.8,2015,18
35,Wyatt Earp,PG-13,191,6.7,1994,47
36,True Grit,G,128,7.4,1969,
37,Young Guns,R,107,6.9,1988,50
38,Australia,PG-13,165,6.6,2008,53
39,Butch Cassidy and the Sundance Kid,PG,110,8.0,1969,66
40,Prospect,R,100,6.2,2018,68
41,Cheyenne Autumn,PG,154,6.8,1964,
42,3:10 to Yuma,R,122,7.7,2007,76
43,Call of the Wild,Approved,89,6.8,1935,
44,The Lone Ranger,PG-13,150,6.4,2013,37
45,The Man Who Shot Liberty Valance,Not Rated,123,8.1,1962,94
46,The Searchers,Passed,119,7.9,1956,94
47,Urban Cowboy,PG,132,6.3,1980,61
48,A Fistful of Dollars,R,99,8.0,1964,65
49,Silverado,PG-13,133,7.2,1985,64
50,Little Big Man,PG-13,139,7.6,1970,63
51,Cowboys & Aliens,PG-13,119,6.0,2011,50
52,Drums Along the Mohawk,Approved,104,7.1,1939,
53,For a Few Dollars More,R,132,8.3,1965,74
54,She Wore a Yellow Ribbon,Passed,104,7.3,1949,
55,Hell on the Border,R,106,5.1,2019,
56,Free State of Jones,R,139,6.9,2016,53
57,Abraham Lincoln: Vampire Hunter,R,105,5.9,2012,42
58,The Horse Whisperer,PG-13,169,6.6,1998,65
59,Shane,Not Rated,118,7.6,1953,80
60,Sahara,PG-13,124,6.0,2005,41
61,Young Guns II,PG-13,104,6.5,1990,47
62,The Quick and the Dead,R,107,6.4,1995,49
63,The Cowboys,GP,134,7.4,1972,52
64,Bubba Ho-Tep,R,92,7.0,2002,57
65,Stagecoach,Passed,96,7.9,1939,93
66,Django/Zorro,,,,2022,
67,High Noon,PG,85,7.9,1952,89
68,Slow West,R,84,6.9,2015,72
69,The Wild Bunch,R,135,7.9,1969,97
70,El Dorado,Passed,126,7.6,1967,85
71,The Missing,R,137,6.5,2003,55
72,Those Who Wish Me Dead,,,,2020,
73,Bad Day at Black Rock,Not Rated,81,7.7,1955,
74,Around the World in 80 Days,PG,120,5.9,2004,49
75,Rio Grande,Passed,105,7.1,1950,
76,The Legend of Zorro,PG,129,5.9,2005,47
77,The Unforgiven,Approved,125,6.7,1960,
78,Open Range,R,139,7.4,2003,67
79,El Topo,Not Rated,125,7.5,1970,
80,¡Three Amigos!,PG,104,6.5,1986,52
81,Of Mice and Men,PG-13,115,7.5,1992,
82,Gunfight at the O.K. Corral,Passed,122,7.2,1957,
83,Joheunnom nabbeunnom isanghannom,R,130,7.3,2008,69
84,Jonah Hex,PG-13,81,4.7,2010,33
85,Pale Rider,R,115,7.3,1985,61
86,High Plains Drifter,R,105,7.5,1973,69
87,Spirit: Stallion of the Cimarron,G,83,7.1,2002,52
88,Jane Got a Gun,R,98,5.9,2015,49
89,Rio Bravo,Passed,141,8.0,1959,
90,Support Your Local Sheriff!,G,92,7.5,1969,
91,Old Yeller,Approved,83,7.3,1957,84
92,McLintock!,Passed,127,7.2,1963,
93,National Treasure 3,,,,,
94,The Salvation,R,92,6.7,2014,64
95,Dead Man,R,121,7.6,1995,62
96,The Proposition,R,104,7.4,2005,73
97,Never Grow Old,R,100,5.8,2019,65
98,News of the World,,,,2020,
99,How the West Was Won,G,164,7.1,1962,56
100,Maverick,PG,127,7.0,1994,62
101,The Hero,R,96,6.5,2017,61
102,Justice,R,92,4.0,2017,
103,Coogan's Bluff,R,93,6.5,1968,
104,Rio Lobo,G,114,6.8,1970,55
105,The Warrior's Way,R,100,6.3,2010,45
106,Far and Away,PG-13,140,6.6,1992,49
107,The Great Race,Passed,160,7.2,1965,71
108,Seven Brides for Seven Brothers,Approved,102,7.4,1954,75
109,The Treasure of the Sierra Madre,Passed,126,8.2,1948,98
110,Das finstere Tal,Not Rated,115,7.1,2014,
111,Big Jake,GP,110,7.2,1971,57
112,The Man from Snowy River,PG,102,7.3,1982,63
113,Quigley Down Under,PG-13,119,6.9,1990,51
114,Jeremiah Johnson,GP,108,7.6,1972,75
115,Two Mules for Sister Sara,GP,116,7.0,1970,62
116,Damsel,R,113,5.5,2018,63
117,One-Eyed Jacks,Not Rated,141,7.1,1961,
118,Support Your Local Gunfighter,G,91,6.9,1971,
119,Heaven's Gate,R,219,6.8,1980,57
120,Cat Ballou,Not Rated,97,6.8,1965,60
121,The Alamo,Passed,162,6.9,1960,
122,Bandidas,PG-13,93,5.7,2006,
123,The Homesman,R,122,6.6,2014,68
124,Lucky,Not Rated,88,7.3,2017,80
125,Hang 'Em High,M,114,7.0,1968,62
126,Hud,Not Rated,112,7.8,1963,62
127,The Wild Bunch,,,,(I,
128,Bad Girls,R,99,5.2,1994,
129,Casa de mi Padre,R,84,5.5,2012,52
130,The Shootist,PG,100,7.7,1976,77
131,Soldier Blue,R,112,6.9,1970,
132,Big Kill,R,126,5.2,2019,42
133,The Outsider,Not Rated,86,5.5,2019,
134,Sholay,Not Rated,162,8.2,1975,
135,Paint Your Wagon,PG-13,164,6.6,1969,50
136,"Duck, You Sucker",PG,138,7.7,1971,77
137,Hidalgo,PG-13,136,6.7,2004,54
138,The Villain,PG,89,5.4,1979,22
139,My Name Is Nobody,PG,116,7.5,1973,
140,The Apple Dumpling Gang,G,100,6.5,1975,59
141,Shanghai Noon,PG-13,110,6.6,2000,77
142,Harley Davidson and the Marlboro Man,R,98,6.2,1991,
143,Woman Walks Ahead,R,101,6.6,2017,51
144,In a Valley of Violence,R,104,6.0,2016,64
145,They Call Me Trinity,G,115,7.5,1970,
146,Dust Devil,R,87,6.2,1992,
147,Django,Not Rated,91,7.2,1966,75
148,Ned Kelly,R,110,6.5,2003,56
149,Appaloosa,R,115,6.7,2008,64
150,McCabe & Mrs. Miller,R,120,7.7,1971,
151,Oklahoma!,G,145,7.0,1955,
152,The Duel,R,110,5.8,2016,42
153,Zorro: The Gay Blade,PG,93,6.2,1981,52
154,My Darling Clementine,Not Rated,97,7.8,1946,
155,The Misfits,Not Rated,125,7.3,1961,77
156,Broken Arrow,Approved,93,7.2,1950,
157,The Big Country,Passed,166,7.9,1958,
158,The Sons of Katie Elder,Passed,122,7.2,1965,
159,Lone Wolf McQuade,PG,107,6.4,1983,65
160,The Professionals,PG-13,117,7.3,1966,75
161,The Rider,R,104,7.4,2017,92
162,Red River,Passed,133,7.8,1948,
163,A Prayer for the Damned,Not Rated,94,3.3,2018,
164,Tom and Huck,PG,97,5.5,1995,
165,Meek's Cutoff,PG,104,6.5,2010,85
166,Ride with the Devil,R,138,6.7,1999,69
167,An American Tail: Fievel Goes West,G,75,6.5,1991,
168,The Comancheros,Approved,107,6.9,1961,55
169,The Harder They Fall,,,,2020,
170,Apache Uprising,Approved,90,5.8,1965,
171,Tall Tale,PG,96,5.9,1995,
172,The Outlaw,Approved,116,5.5,1943,
173,The Alamo,PG-13,137,6.0,2004,47
174,The Gold Rush,Not Rated,95,8.2,1925,
175,The Warrant,,,,2020,
176,Almost Heroes,PG-13,90,5.9,1998,
177,Column South,Approved,84,6.3,1953,
178,Badland,,117,5.8,2019,46
179,Pat Garrett & Billy the Kid,R,122,7.3,1973,53
180,Little Woods,R,105,6.1,2018,74
181,The Texican,Approved,91,5.9,1966,
182,In Dubious Battle,R,110,6.1,2016,43
183,El infierno,NC-17,145,7.8,2010,
184,Many Rivers to Cross,Passed,94,6.3,1955,
185,Rooster Cogburn,PG,108,6.9,1975,
186,Son of Paleface,Approved,95,7.0,1952,
187,Posse,PG,92,6.5,1975,
188,Lonely Are the Brave,Approved,107,7.6,1962,
189,Home on the Range,PG,76,5.3,2004,50
190,The Long Riders,R,100,7.0,1980,64
191,Bring Me the Head of Alfredo Garcia,R,112,7.5,1974,
192,Man Without a Star,Approved,89,6.9,1955,
193,Shoot Out,GP,95,6.2,1971,
194,Lawman,R,99,7.0,1971,52
195,Fort Apache,Passed,128,7.5,1948,
196,Seraphim Falls,R,115,6.7,2006,62
197,Western Union,Passed,95,6.7,1941,
198,Destry Rides Again,Approved,95,7.7,1939,
199,8 Seconds,PG-13,105,6.6,1994,
200,The Spoilers,Approved,87,6.7,1942,
201,All the Pretty Horses,PG-13,116,5.8,2000,55
202,A Man Called Horse,M,114,6.9,1970,46
203,Tulsa,Approved,90,6.2,1949,
204,Billy Jack,GP,114,6.3,1971,50
205,Randy Rides Alone,Passed,52,5.3,1934,
206,Duel in the Sun,Passed,129,6.8,1946,
207,The Wild and the Innocent,Approved,84,6.5,1959,
208,Chief Crazy Horse,Approved,86,6.2,1955,
209,Pure Country,PG,112,7.0,1992,
210,Tall in the Saddle,Approved,87,7.0,1944,
211,The Three Burials of Melquiades Estrada,R,121,7.4,2005,77
212,Hombre,Approved,111,7.4,1967,80
213,Raintree County,Approved,160,6.3,1957,
214,Goin' South,PG,105,6.2,1978,52
215,The Oklahoman,Approved,80,6.3,1957,
216,River of No Return,Approved,91,6.6,1954,
217,The Missouri Breaks,PG,126,6.6,1976,65
218,The Undefeated,G,119,6.7,1969,48
219,The Great Silence,Not Rated,105,7.7,1968,
220,The Guns of Fort Petticoat,Approved,82,6.4,1957,
221,Copper Canyon,Not Rated,84,6.3,1950,
222,Wild Bill,R,98,5.9,1995,
223,The Last Wagon,Approved,99,7.0,1956,
224,The Last Sunset,Approved,112,6.7,1961,
225,Rocky Mountain,Passed,83,6.8,1950,
226,American Outlaws,PG-13,94,6.0,2001,25
